Real_NO2,Real_NOx,Real_O3
9.2,10.31,42.63
9.03,9.37,43.09
8.38,8.78,44.36
6.56,6.77,46.08
6.31,6.64,46.42
5.99,6.2,45.62
6.06,6.39,45.0
5.72,6.01,43.67
5.62,5.58,40.99
6.9,7.21,36.75
8.46,8.54,32.51
12.55,13.71,26.14
11.77,12.63,21.79
13.66,15.52,18.16
18.54,22.32,13.93
21.74,25.83,11.5
24.93,29.34,9.08
19.58,28.37,8.56
20.22,33.53,7.8
19.73,30.73,6.81
18.0,31.66,8.28
27.01,23.41,6.65
18.93,29.94,7.22
16.26,24.86,8.18
16.74,23.07,9.38
16.35,22.94,8.94
15.57,21.98,10.82
14.91,20.59,14.55
15.16,21.16,16.4
15.77,22.01,13.05
15.34,20.64,8.38
17.04,23.08,8.34
17.63,23.43,8.46
18.46,24.04,8.1
18.33,23.28,14.71
18.65,23.03,14.91
16.71,20.78,8.46
16.25,19.7,3.97
16.78,21.19,6.39
15.38,21.84,7.9
20.64,22.46,10.52
19.14,20.62,15.01
18.0,18.52,22.41
18.2,18.89,16.26
20.73,21.49,25.58
11.88,14.09,33.45
11.17,12.32,35.5
11.15,12.2,41.11
10.45,11.83,40.05
7.99,8.36,46.82
6.73,7.0,50.61
7.04,7.34,52.67
5.62,5.62,53.58
6.18,6.45,50.96
5.74,6.1,48.34
5.74,5.7,49.31
5.24,5.41,50.71
5.13,5.32,50.07
5.64,5.79,46.52
4.82,4.96,47.27
4.0,4.13,48.02
2.26,2.28,60.07
1.84,1.86,67.23
1.51,1.61,67.21
1.45,1.74,66.15
1.07,1.2,64.96
1.03,0.77,66.31
1.01,1.38,69.39
0.86,1.15,72.23
0.92,1.19,75.33
1.09,1.43,72.52
1.07,1.63,73.04
1.28,1.59,74.28
1.51,2.28,72.72
1.87,2.43,72.04
1.38,2.03,72.18
0.94,1.34,73.1
1.17,1.53,72.36
1.89,2.95,71.85
2.12,2.83,72.18
2.2,2.6,72.7
2.7,3.39,70.95
4.19,4.53,67.87
6.08,6.33,64.72
5.41,5.64,65.14
4.19,4.44,64.82
4.19,4.67,63.84
3.17,3.46,66.18
3.82,4.04,65.88
3.31,3.71,65.2
2.95,3.04,63.28
3.96,4.26,62.9
8.97,8.7,51.57
6.08,6.2,58.93
4.07,4.59,63.9
3.04,3.19,65.56
3.39,3.46,66.94
3.82,4.02,67.06
2.66,2.79,68.57
3.0,3.25,68.11
1.95,2.14,68.43
1.68,2.03,68.3
0.71,0.86,66.89
1.01,1.19,64.82
2.07,2.01,62.76
1.13,0.92,66.72
0.65,0.4,64.75
1.15,1.24,64.27
1.68,1.86,62.78
3.51,3.68,58.52
5.34,5.51,54.26
3.29,3.82,55.16
6.08,6.43,49.31
7.0,7.52,49.35
7.0,7.57,50.19
7.65,8.24,48.22
10.77,11.88,44.6
9.41,10.25,44.66
12.03,13.62,42.71
12.41,14.42,43.89
13.04,15.57,49.15
11.67,14.38,58.03
11.63,13.96,58.71
8.61,10.98,63.32
6.1,7.59,67.04
9.22,11.61,61.37
8.32,10.37,62.57
7.15,8.89,63.94
7.15,8.7,62.92
10.06,11.48,57.3
9.24,10.35,56.1
10.12,11.46,56.06
8.91,9.94,55.66
12.64,14.23,52.31
14.57,16.18,50.19
9.94,10.84,55.62
10.61,11.9,54.9
12.62,13.85,52.95
18.0,18.52,36.86
18.2,18.89,32.71
11.91,14.13,38.54
11.88,14.09,34.05
11.17,12.32,30.59
11.15,12.2,31.07
10.45,11.83,32.49
10.25,11.54,30.97
10.28,11.33,31.53
9.34,9.84,31.41
8.37,9.35,33.29
7.71,7.77,34.31
7.5,7.79,32.59
7.83,8.16,32.01
7.13,7.54,32.41
7.16,7.54,29.48
8.46,8.54,26.54
7.25,7.84,30.17
8.74,9.45,29.6
9.03,9.75,29.66
6.87,7.61,31.85
8.46,9.0,30.66
10.04,10.38,29.48
13.69,14.34,26.22
20.04,23.35,20.88
15.28,18.23,24.25
15.68,16.98,23.57
16.21,19.95,21.07
15.5,21.42,21.91
16.26,24.86,20.0
16.74,23.07,16.52
16.35,22.94,17.44
15.57,21.98,17.3
14.91,20.59,17.64
15.16,21.16,14.63
15.77,22.01,17.98
15.34,20.64,17.74
17.04,23.08,18.9
17.63,23.43,20.44
18.46,24.04,16.52
18.33,23.28,22.33
18.65,23.03,28.46
16.71,20.78,26.64
16.25,19.7,27.52
16.78,21.19,22.45
15.38,21.84,22.81
20.64,22.46,23.57
19.14,20.62,19.24
18.0,18.52,6.83
18.2,18.89,5.33
20.73,21.49,9.2
26.17,27.12,7.7
25.67,26.84,7.12
23.41,24.42,5.57
21.26,22.12,5.03
19.72,20.4,3.79
18.76,19.01,5.93
16.12,16.53,16.21
14.99,15.36,27.02
7.71,7.77,28.84
7.5,7.79,30.67
14.23,15.58,24.77
11.6,12.41,23.05
11.9,12.93,26.76
8.46,8.54,34.67
8.76,8.72,37.99
9.05,8.89,41.31
9.47,10.21,44.38
7.75,7.92,51.39
8.84,9.77,55.04
9.03,9.03,57.94
11.17,11.93,58.09
15.91,17.33,54.36
10.84,11.26,59.01
11.19,11.34,59.51
12.85,13.83,57.88
11.09,12.68,59.91
11.49,13.1,58.47
9.87,11.26,59.75
10.06,11.76,59.27
8.78,10.61,62.25
8.47,10.25,62.68
7.67,9.39,63.4
7.69,9.56,62.9
9.08,10.71,61.55
9.07,10.14,60.89
13.68,16.52,55.04
17.89,17.05,51.23
14.18,16.97,52.05
18.65,23.03,45.24
14.36,15.61,53.54
14.52,16.08,51.69
13.56,14.36,52.69
8.84,9.33,57.04
10.19,10.77,54.48
11.15,11.78,52.69
8.84,9.1,54.9
8.03,8.7,56.58
7.17,7.44,58.53
6.81,6.73,58.63
6.08,5.99,58.27
5.11,5.34,60.15
5.62,5.55,58.29
6.04,6.1,57.36
5.93,6.2,56.76
5.93,5.78,56.26
5.89,6.12,52.81
6.54,6.52,48.89
7.25,7.13,45.86
7.83,8.05,43.74
7.13,7.54,41.61
7.16,7.54,39.0
8.46,8.54,38.22
8.39,8.62,37.18
8.97,9.31,37.7
9.06,9.74,37.34
9.14,10.16,36.98
9.87,11.23,36.84
10.61,11.74,38.02
11.48,12.47,38.1
12.51,14.04,36.56
12.26,13.9,36.52
12.57,14.63,35.14
16.12,20.0,32.21
13.16,15.66,32.47
12.66,14.86,33.25
12.24,14.57,33.01
13.44,15.87,32.17
13.78,16.01,31.27
14.91,17.61,29.64
15.16,15.97,28.32
15.77,15.53,28.56
15.34,16.58,28.56
17.04,17.73,26.2
13.68,18.23,26.58
14.38,17.05,27.68
14.18,16.97,27.3
14.25,16.46,26.48
16.71,20.78,24.57
16.25,17.55,25.86
16.78,18.46,25.09
15.38,16.69,24.97
14.17,17.16,26.24
17.94,19.94,23.63
18.0,18.52,23.09
16.99,18.89,23.77
11.91,14.13,23.09
11.88,14.09,24.53
11.17,12.32,25.13
11.15,12.2,23.61
10.45,11.83,20.32
17.63,19.12,19.38
10.28,11.33,21.45
15.1,15.71,21.07
14.99,15.36,21.11
11.24,11.58,24.71
7.5,7.79,22.27
12.88,8.16,22.97
11.54,11.68,24.69
7.16,7.54,24.18
11.74,8.54,23.67
11.81,8.62,24.47
11.77,12.63,21.85
10.31,10.44,25.09
9.94,10.58,26.98
12.72,13.59,24.86
15.51,16.6,22.73
14.59,16.03,24.11
15.97,17.94,22.39
19.73,30.73,13.71
18.0,24.04,16.68
16.21,23.41,15.67
18.93,22.64,14.79
16.26,24.86,11.38
16.74,23.07,11.75
16.35,22.94,15.57
15.57,21.98,11.14
14.91,20.59,12.19
15.16,21.16,11.0
15.77,22.01,9.54
15.34,20.64,12.65
17.04,23.08,11.87
17.63,23.43,12.57
18.46,24.04,11.06
18.33,23.28,8.14
18.65,23.03,11.6
16.71,20.78,10.62
16.25,19.7,8.84
16.78,21.19,10.54
15.38,16.69,13.59
14.17,17.43,13.97
13.09,17.06,15.41
12.97,15.49,18.94
12.02,14.57,20.74
11.91,13.54,22.01
11.8,13.22,22.33
11.09,12.2,23.15
10.71,11.46,23.41
10.45,11.83,23.45
10.25,11.54,23.27
10.28,11.33,20.99
9.34,9.84,17.58
8.37,9.35,18.22
7.71,7.77,19.56
7.5,7.79,20.91
7.83,8.16,22.11
11.07,7.54,24.13
7.16,7.54,26.0
8.46,8.54,26.52
8.8,8.47,30.92
9.14,8.4,35.32
7.84,7.59,44.68
5.97,5.85,56.42
7.29,7.52,58.39
6.77,7.23,60.54
7.32,10.19,62.09
7.31,8.41,61.43
7.25,8.34,61.13
7.78,8.84,60.35
6.52,7.48,60.89
5.76,6.22,60.27
7.98,9.24,57.42
7.99,9.39,55.52
10.27,12.03,52.87
9.28,10.5,54.14
13.09,17.0,47.94
11.74,14.17,48.91
11.74,13.87,50.97
9.49,11.0,55.28
10.25,12.09,54.14
13.29,15.32,50.87
11.09,12.47,52.55
9.91,10.92,55.06
6.77,8.01,56.62
6.23,7.46,55.52
6.66,8.32,52.23
6.27,7.29,50.65
5.81,6.73,51.45
4.42,4.46,52.31
5.2,5.51,51.01
4.78,4.49,52.05
4.02,4.25,53.17
2.93,2.43,55.34
2.51,2.3,56.76
2.39,2.16,56.7
2.58,2.72,56.6
3.14,2.72,56.84
2.22,2.33,59.13
1.91,1.61,59.03
3.1,2.96,56.9
2.64,2.33,56.9
2.58,2.3,57.56
2.33,2.03,58.21
2.35,2.33,58.13
1.97,1.49,58.05
2.22,2.01,56.8
1.76,1.3,58.35
2.24,1.42,56.92
2.01,1.55,53.4
2.19,2.06,51.94
2.37,2.58,50.47
3.14,3.25,46.64
4.15,4.7,44.96
3.96,4.36,45.34
4.04,4.57,43.91
4.69,5.18,43.21
4.7,5.05,42.43
6.16,7.21,40.63
5.45,5.97,44.8
6.83,8.28,51.31
6.08,6.77,58.27
6.56,7.5,62.82
6.45,7.4,66.22
7.46,8.85,62.72
6.66,7.34,60.23
8.28,9.72,56.5
7.04,7.92,55.0
6.2,6.94,55.46
4.9,5.81,58.31
4.05,4.36,59.75
4.02,4.51,60.65
4.67,5.01,59.57
4.95,5.37,59.09
5.22,5.57,59.87
4.25,4.82,61.81
3.77,4.44,62.17
3.27,3.69,62.57
3.02,3.23,62.7
2.58,2.91,63.94
2.75,3.25,65.24
3.33,3.54,63.5
3.31,3.88,63.72
2.89,3.27,63.52
3.0,3.48,63.44
3.6,4.36,62.55
4.78,5.57,60.55
3.86,4.11,61.55
16.12,16.53,46.02
6.96,7.36,56.86
2.73,2.83,62.45
2.75,3.0,63.52
2.39,2.31,65.56
3.04,3.17,64.22
2.81,3.14,64.22
2.26,2.28,64.22
2.62,2.22,64.27
2.66,2.56,62.78
1.47,1.64,60.85
1.84,2.01,60.8
2.03,2.04,63.48
2.22,2.08,66.15
2.31,2.1,64.96
2.62,2.49,66.31
6.31,6.16,62.09
4.07,4.04,62.47
4.21,4.34,62.51
4.44,4.86,61.45
3.77,3.6,60.87
4.34,4.3,60.35
5.81,6.18,58.25
6.81,7.46,55.54
5.74,6.14,54.38
5.41,5.85,53.35
5.57,6.12,51.31
5.28,6.04,50.81
5.62,6.52,49.37
6.83,7.52,48.22
5.39,5.83,53.05
5.45,5.7,53.05
