Real_NO2,Real_NOx,Real_O3
0.73,0.59,47.3
0.71,0.75,47.2
0.98,0.69,47.66
0.84,0.65,47.48
1.26,1.24,47.3
0.92,0.52,46.96
0.82,0.8,46.92
1.13,0.92,47.32
1.59,1.45,46.88
1.87,1.89,46.04
2.14,2.33,45.2
2.45,2.6,44.62
1.87,1.72,45.24
2.58,3.25,44.62
3.0,3.52,43.11
2.52,3.23,43.73
2.41,3.27,44.03
2.31,3.06,44.96
2.52,3.25,44.96
2.08,2.91,43.07
2.08,2.56,43.73
2.83,3.39,44.34
2.14,2.87,45.36
2.75,3.37,45.36
2.87,3.46,45.38
2.16,2.68,47.12
2.26,2.68,47.66
2.52,2.51,46.62
3.16,3.29,47.56
3.65,3.77,45.9
5.11,5.57,43.63
5.93,6.23,42.63
5.93,6.5,41.25
6.52,6.85,41.47
5.89,6.45,41.15
5.78,6.46,40.15
5.64,6.14,39.18
6.31,6.79,34.29
6.6,7.11,35.6
5.34,5.74,40.63
5.05,5.6,38.64
5.26,5.49,35.38
2.73,2.96,38.82
2.47,2.33,39.51
2.54,2.37,39.57
2.2,2.54,40.61
2.37,2.41,41.75
2.58,2.45,39.1
3.25,2.95,36.44
3.54,3.67,39.38
2.39,2.54,39.65
3.08,3.0,39.44
2.2,2.1,39.38
2.62,2.63,39.36
3.04,3.16,39.34
2.77,2.72,38.54
4.25,4.28,37.04
4.51,4.34,36.4
5.41,5.6,35.94
6.5,6.73,34.11
7.06,7.34,34.65
6.73,7.52,35.64
5.51,6.48,38.34
7.46,8.78,37.14
4.69,6.04,38.26
3.48,3.98,40.91
4.15,5.26,40.25
3.46,4.69,40.17
3.54,4.82,40.51
2.98,3.81,45.1
2.96,3.79,46.84
3.54,4.38,46.1
3.14,3.79,47.0
4.57,5.53,45.74
4.3,5.16,46.04
5.64,6.64,45.02
5.24,6.04,45.1
4.9,5.26,44.6
6.58,6.94,41.23
12.05,12.22,36.88
10.73,11.19,35.58
13.0,13.5,32.51
20.64,22.46,24.27
19.14,20.62,12.25
18.0,18.52,11.63
18.2,18.89,4.51
20.73,21.49,2.33
26.17,27.12,3.13
25.67,26.84,1.38
23.41,24.42,2.35
21.26,22.12,4.69
19.72,20.4,4.69
18.76,19.01,7.24
16.12,16.53,7.46
14.99,15.36,8.64
15.58,17.51,9.5
13.9,15.37,11.32
14.23,15.59,10.62
11.6,12.41,9.92
11.9,12.93,18.04
11.74,12.89,18.84
12.55,13.71,20.64
11.77,12.63,19.72
15.16,17.48,15.57
18.54,22.32,11.42
22.46,26.04,19.12
25.22,30.8,16.23
19.58,28.37,16.88
34.13,33.53,12.73
37.51,30.73,8.54
18.0,31.66,17.26
27.01,23.41,15.07
18.93,29.94,20.4
16.26,24.86,24.41
13.2,17.08,29.66
9.01,11.3,31.85
10.08,12.32,29.84
9.7,11.59,31.25
10.16,12.97,30.69
8.97,11.32,32.49
10.0,13.16,32.65
10.17,13.35,33.73
11.7,13.75,33.59
11.23,12.7,32.27
9.62,11.09,34.47
8.2,9.01,36.12
9.03,9.89,36.14
8.32,8.78,36.56
7.5,7.67,37.36
6.35,7.08,37.94
13.12,13.33,33.29
11.65,11.95,34.49
5.76,6.08,37.36
4.3,4.25,35.92
4.63,4.44,34.29
6.18,6.98,31.17
5.09,5.41,29.44
4.53,4.19,30.02
4.76,4.82,28.74
4.76,4.84,28.1
5.28,5.41,27.6
5.81,5.95,25.72
5.55,5.07,24.85
5.57,5.45,23.17
5.37,5.36,21.69
5.49,5.41,20.72
5.89,5.37,19.62
6.77,6.69,17.62
8.19,8.45,15.61
8.39,8.62,14.53
10.11,10.69,13.03
12.95,14.1,11.5
15.51,20.2,9.1
17.73,25.1,7.57
19.95,30.01,6.05
19.58,28.37,4.13
20.22,33.53,4.73
19.73,30.37,4.77
18.0,28.71,5.61
16.21,23.41,6.05
18.93,29.94,6.71
16.26,24.86,6.98
16.37,23.07,8.04
13.84,22.94,8.66
15.57,21.98,6.79
14.91,20.59,6.55
15.16,21.16,6.25
15.77,22.01,7.02
15.34,20.64,7.4
17.04,23.08,6.33
17.63,23.43,6.65
18.46,24.04,5.79
18.33,23.28,5.69
18.65,23.03,5.71
16.71,20.78,6.43
16.25,19.7,7.76
16.34,18.46,8.32
14.31,16.24,8.88
14.17,17.43,7.6
13.09,16.96,7.42
12.76,14.29,8.36
12.02,14.75,8.28
11.91,14.13,7.7
11.88,14.09,6.87
11.17,12.32,6.91
11.15,12.2,7.76
8.26,8.55,12.83
4.26,4.28,21.83
3.48,4.02,26.1
2.73,3.25,27.86
2.56,2.89,29.06
2.66,2.54,29.56
2.3,2.91,30.06
2.47,3.02,29.6
2.64,3.12,29.88
2.6,2.79,31.19
3.5,4.28,30.33
3.52,3.85,29.76
3.54,3.42,29.18
4.82,5.07,27.34
4.57,4.93,27.3
6.01,6.58,26.96
7.08,8.57,28.36
7.92,9.49,29.26
8.15,9.73,29.28
7.34,8.51,30.67
7.46,8.3,31.07
6.83,8.22,31.99
7.42,8.43,31.29
8.38,9.64,30.55
6.23,6.92,32.11
7.44,8.82,29.56
6.41,7.46,30.08
7.4,8.85,31.03
6.25,7.17,32.41
5.68,6.6,34.59
8.45,10.33,33.39
9.39,11.32,34.07
7.78,9.08,36.22
6.56,7.54,36.88
5.03,5.39,40.05
5.58,6.43,41.45
5.6,6.67,42.61
6.94,7.82,40.11
5.01,5.26,40.55
4.86,5.18,39.65
4.59,4.84,43.09
5.13,5.13,45.7
5.16,5.57,44.48
4.69,4.65,42.51
3.56,3.56,41.73
4.23,4.26,41.63
4.07,3.6,39.85
3.54,3.79,40.11
3.25,3.1,37.92
2.56,2.52,37.58
2.49,2.24,37.16
2.35,2.28,38.18
2.08,1.64,38.96
2.08,1.15,42.47
2.03,1.74,45.08
1.89,1.43,45.24
1.47,1.15,45.4
1.76,1.28,45.8
1.99,1.19,44.34
2.87,2.54,44.88
4.07,4.11,41.89
7.81,8.09,38.7
11.55,12.07,35.5
13.81,14.61,34.23
19.81,26.37,29.12
16.35,19.37,30.49
11.09,11.4,34.61
8.4,8.68,40.29
12.05,12.6,41.31
12.3,13.66,42.81
10.73,12.41,44.38
7.61,9.75,46.46
6.9,8.95,46.8
5.58,7.42,44.38
6.22,8.17,43.71
4.88,6.18,44.74
4.02,5.05,44.16
6.83,8.41,43.05
5.74,7.52,43.25
4.95,5.93,43.23
4.69,5.91,43.81
4.92,5.91,43.39
4.32,4.97,45.54
2.81,3.08,48.04
2.58,2.68,49.11
3.06,2.77,48.08
2.75,2.62,49.13
2.64,2.6,50.07
2.1,1.82,49.89
2.49,2.31,47.86
2.39,2.28,46.8
1.74,1.7,46.04
1.45,1.36,45.94
1.55,1.51,46.4
1.19,0.92,49.51
0.78,0.06,51.11
0.84,0.65,52.07
1.43,0.94,51.51
0.73,0.38,50.91
0.71,0.42,50.15
0.54,0.15,48.28
0.71,0.36,48.64
0.5,0.15,47.66
0.5,0.0,48.12
0.55,0.4,48.62
1.13,0.46,47.01
5.03,4.55,45.4
3.25,2.79,46.62
3.1,2.79,48.48
6.16,5.79,45.28
6.33,6.81,46.04
9.34,10.75,44.42
12.35,14.69,42.79
10.65,12.34,42.55
8.55,9.35,40.95
5.64,6.73,44.03
6.81,8.43,44.05
4.8,6.27,47.12
4.3,6.16,49.01
3.48,4.53,50.97
3.86,5.24,50.33
2.85,4.3,47.24
3.79,5.93,46.6
5.03,7.13,46.62
4.88,7.21,46.62
5.68,8.07,47.1
6.08,7.92,45.74
5.89,8.09,45.56
6.02,8.36,44.36
4.92,6.43,44.05
4.49,5.85,44.05
3.75,4.67,44.54
3.16,4.11,44.18
3.54,4.61,43.07
2.83,3.63,42.53
3.42,4.46,41.37
3.06,4.02,41.29
2.66,3.44,41.75
1.97,2.64,42.39
2.14,2.93,42.29
2.45,3.17,41.83
2.6,3.27,41.29
2.39,3.04,41.95
2.01,2.91,42.63
1.34,1.95,43.43
1.2,1.78,43.95
1.03,1.4,44.42
0.8,1.15,45.58
1.07,1.43,44.64
0.99,1.59,45.16
1.15,1.72,45.68
0.92,1.26,45.7
0.84,1.38,45.36
1.03,1.32,44.94
0.84,1.26,44.82
1.28,1.36,44.42
1.72,1.47,44.03
3.06,2.77,42.19
4.76,5.03,39.79
4.04,3.96,39.45
3.16,2.68,39.24
4.38,3.86,37.58
5.58,5.72,35.64
8.19,8.84,33.61
8.2,9.49,33.77
6.79,8.09,34.27
5.66,6.79,36.38
5.07,5.81,36.9
4.07,5.39,38.5
2.93,3.5,38.06
4.17,5.13,40.13
3.12,3.84,44.07
3.14,3.63,45.52
2.18,2.31,46.36
2.66,2.58,47.12
4.59,5.3,46.24
3.23,3.58,47.26
5.76,6.33,45.7
4.26,4.19,47.12
7.75,8.03,44.58
9.22,9.58,41.89
11.4,11.65,38.9
10.35,10.71,38.22
7.76,8.17,40.45
6.67,7.1,41.95
9.1,9.35,38.64
12.97,13.46,31.39
11.02,11.42,31.21
11.91,13.12,29.3
11.88,12.14,29.1
10.14,10.58,30.02
7.36,7.76,33.33
5.62,5.3,34.71
4.46,4.46,35.28
4.04,3.77,34.57
3.75,3.37,34.79
3.48,3.29,34.61
4.36,4.02,35.82
4.38,4.46,34.81
3.48,3.54,36.17
2.81,2.85,37.54
2.39,2.24,38.44
2.12,1.99,38.88
2.1,1.93,37.96
2.73,2.45,35.16
3.43,3.44,32.54
4.13,4.42,29.92
4.76,4.92,27.78
6.16,7.06,24.89
8.22,9.45,23.67
6.48,7.29,24.57
7.69,9.01,23.27
8.26,9.68,22.71
10.63,12.99,21.51
8.68,10.52,24.17
8.51,10.54,25.94
8.24,10.0,26.76
8.22,10.12,25.9
8.45,10.6,26.42
9.24,10.73,27.88
8.7,10.69,29.08
9.18,10.75,31.97
8.8,10.52,34.37
9.58,11.21,35.06
8.68,10.16,36.48
8.97,10.29,35.08
9.24,11.38,34.49
10.67,12.03,33.09
11.63,12.95,31.71
11.3,12.57,34.33
9.16,10.16,36.84
10.63,11.78,34.15
9.41,10.54,34.17
9.28,10.14,34.47
