test_id,NO2,NOx,
Vesterbro#0,8.736340064720178,14.5025244540861,
Vesterbro#1,7.14827461059418,11.338177778884294,
Vesterbro#2,7.415399381021941,8.897796185095634,
Vesterbro#3,7.181199834076132,9.548207167439513,
Vesterbro#4,7.53316924024946,11.25874291172243,
Vesterbro#5,10.838204197954925,13.33265786972113,
Vesterbro#6,14.908411067889848,20.117272775389242,
Vesterbro#7,16.512784667443327,25.326582640590345,
Vesterbro#8,16.757139971212183,24.082605894532787,
Vesterbro#9,18.944997012867567,20.66237192176322,
Vesterbro#10,20.15281196090386,25.93966629327703,
Vesterbro#11,16.6454948219861,21.313424178674985,
Vesterbro#12,15.38590372406007,19.952392400206442,
Vesterbro#13,15.230463172827294,19.525025897388105,
Vesterbro#14,17.938688483989942,25.837623984455806,
Vesterbro#15,18.713680620524592,23.986454018769688,
Vesterbro#16,16.438052214113227,22.184065876852493,
Vesterbro#17,17.312817254053925,20.657211694643443,
Vesterbro#18,16.306412754729166,20.170023219709567,
Vesterbro#19,15.413957209692002,19.825800673572292,
Vesterbro#20,15.18475404522736,18.97815161703075,
Vesterbro#21,15.886895454073699,20.422757360772334,
Vesterbro#22,14.697563383126086,20.19141632663346,
Vesterbro#23,14.696702810090455,22.39287577926421,
Vesterbro#24,12.98677914163619,13.103612035230286,
Vesterbro#25,10.090414259609952,8.63722120708909,
Vesterbro#26,12.286882278104237,11.24352231776345,
Vesterbro#27,8.979164971711445,4.18482239082227,
Vesterbro#28,12.610785598364648,9.051765245693016,
Vesterbro#29,11.748332462779626,17.360030400602035,
Vesterbro#30,15.573178085944614,20.61035844359745,
Vesterbro#31,18.0796075203554,25.098586515080168,
Vesterbro#32,17.793091318414984,24.552512823732858,
Vesterbro#33,18.039667235260993,26.023073947748134,
Vesterbro#34,16.827690693887913,24.832757999766738,
Vesterbro#35,16.87991498038325,22.789011594691363,
Vesterbro#36,15.440550419881282,20.56788014541125,
Vesterbro#37,15.542764520036902,21.82493098341708,
Vesterbro#38,17.221798918778436,22.200261582242707,
Vesterbro#39,16.43110542655711,21.7227882336182,
Vesterbro#40,19.309290326940722,23.89200297012739,
Vesterbro#41,18.821074661689487,22.42132971536445,
Vesterbro#42,16.093014420201726,20.109048500184624,
Vesterbro#43,15.219789804861346,20.728537486905996,
Vesterbro#44,14.677198787074875,18.00048338718904,
Vesterbro#45,14.303883247904132,16.443052843362423,
Vesterbro#46,14.272913073200899,16.304356743018086,
Vesterbro#47,12.589905886636727,15.623109430630299,
Oesterbro#0,7.012705933638558,13.161488896049988,
Oesterbro#1,6.651437839517866,13.698899467993861,
Oesterbro#2,8.210415224400904,10.766070735585858,
Oesterbro#3,6.15315226982694,13.453350108555497,
Oesterbro#4,8.811709999889112,14.046037115694,
Oesterbro#5,11.664766521611089,15.965988924912791,
Oesterbro#6,13.04530091839407,20.170282579241928,
Oesterbro#7,12.758101935936255,24.393856972511614,
Oesterbro#8,14.020742534569113,21.51243016636912,
Oesterbro#9,14.89419927388094,21.803488313773013,
Oesterbro#10,13.041392759000786,21.186969629145718,
Oesterbro#11,12.064265875449609,18.912177223179743,
Oesterbro#12,11.45225242655208,17.762493077517963,
Oesterbro#13,11.289064085928594,18.158582231278178,
Oesterbro#14,11.56316985573054,16.47318193949644,
Oesterbro#15,12.892998115662646,18.51909034131226,
Oesterbro#16,11.888838872011343,19.589111101981135,
Oesterbro#17,12.919550651541467,19.395073837936955,
Oesterbro#18,12.277007123211336,18.349570333699845,
Oesterbro#19,11.909385932310835,18.349570333699845,
Oesterbro#20,11.404819331075299,17.611194077242068,
Oesterbro#21,12.68921747302499,18.777347473090696,
Oesterbro#22,12.176213336905954,17.4279798349855,
Oesterbro#23,12.31032232716077,17.5628818576661,
Oesterbro#24,11.062675565813628,17.428515910810955,
Oesterbro#25,10.677774037168936,15.034644335400541,
Oesterbro#26,8.895255345539967,13.536531081207986,
Oesterbro#27,8.63530300096168,13.091692188645405,
Oesterbro#28,10.172189933533245,15.98877742978954,
Oesterbro#29,11.439472425226098,18.25144385193379,
Oesterbro#30,13.173684544630433,18.763984703763,
Oesterbro#31,15.617284948208459,28.370578272843858,
Oesterbro#32,12.76203912133389,24.126161980503383,
Oesterbro#33,13.98400832959446,21.05662625729865,
Oesterbro#34,14.9782852162679,23.811572600858923,
Oesterbro#35,11.379814946041488,19.043889882931385,
Oesterbro#36,11.780269649385135,19.49677390366783,
Oesterbro#37,11.967030406573052,18.487512457149943,
Oesterbro#38,12.136025167517937,19.847041243219195,
Oesterbro#39,12.581542354821003,19.167796163762556,
Oesterbro#40,15.118067163661292,18.965974634489314,
Oesterbro#41,14.82368146447814,18.540831485392303,
Oesterbro#42,12.4937173687029,18.288595614174902,
Oesterbro#43,11.434884783920317,18.26526197890724,
Oesterbro#44,11.253435353076243,17.16561789815257,
Oesterbro#45,10.946398462172633,16.957990431180868,
Oesterbro#46,12.156443405204474,15.593276248048426,
Oesterbro#47,11.890781325346525,15.040002240812148,


