test_id,NO2,NOx,
Oesterbro#0,4.89829431606042,10.227460157717458,
Oesterbro#1,4.485959178870025,11.29861180360595,
Oesterbro#2,5.5456309924625815,4.662804347243645,
Oesterbro#3,4.216202920070383,10.235892325966114,
Oesterbro#4,4.757915676640785,11.792652474653588,
Oesterbro#5,9.66778506927718,14.670512008519282,
Oesterbro#6,12.044813131113536,17.594847739787273,
Oesterbro#7,11.630395254684597,26.373642210647713,
Oesterbro#8,14.543355220523226,21.144249001896004,
Oesterbro#9,10.70182733982931,23.179784675230163,
Oesterbro#10,10.957733679227847,24.991535274694343,
Oesterbro#11,8.206387284424594,18.88851596200998,
Oesterbro#12,8.492489911556094,15.076728024616608,
Oesterbro#13,8.202040854449416,15.323474880416342,
Oesterbro#14,8.894608393002674,15.138313156157139,
Oesterbro#15,9.01623926134177,18.396911218976232,
Oesterbro#16,8.131927869979268,15.850760994078405,
Oesterbro#17,10.36061845751062,15.33174047359316,
Oesterbro#18,8.988515485048842,14.685687852577473,
Oesterbro#19,8.451409772547056,14.685687852577473,
Oesterbro#20,8.59456689486927,15.433993483566285,
Oesterbro#21,7.870304696827475,13.466262498355647,
Oesterbro#22,8.94904356204225,13.814189092240724,
Oesterbro#23,8.293897205512275,13.971614603949455,
Oesterbro#24,6.971982390019175,11.344663029511524,
Oesterbro#25,8.214793288673238,10.782058938087218,
Oesterbro#26,6.499437232832464,5.636780160103784,
Oesterbro#27,5.169940079536519,3.5480831139080253,
Oesterbro#28,7.03158359029805,10.137089993822308,
Oesterbro#29,7.322695897529071,11.461397960704906,
Oesterbro#30,9.349012354094745,16.61886582141208,
Oesterbro#31,10.740299104219334,18.803624107481017,
Oesterbro#32,14.496228861952886,18.563744436462372,
Oesterbro#33,10.558551932029347,20.71451264042731,
Oesterbro#34,11.053016856905941,18.003020431382126,
Oesterbro#35,10.003358517323734,17.192420263478443,
Oesterbro#36,9.602996028276596,18.562950705914876,
Oesterbro#37,8.834361937849202,20.337635952786385,
Oesterbro#38,10.46916150822526,15.725719911802637,
Oesterbro#39,9.288813394712294,16.141613895559942,
Oesterbro#40,9.286292870559171,15.870471614605528,
Oesterbro#41,10.492873309671957,15.315414059803329,
Oesterbro#42,8.262292936255449,14.859016958258856,
Oesterbro#43,8.337107914267772,14.685687852577473,
Oesterbro#44,9.225139107169683,14.084664288515961,
Oesterbro#45,9.478179907070366,13.316879123907327,
Oesterbro#46,8.258113484781296,15.598970961567199,
Oesterbro#47,9.239278604548534,14.575525620166474,
Vesterbro#0,9.923897307494217,8.748001149308873,
Vesterbro#1,3.4842070820803914,7.270324647143191,
Vesterbro#2,7.780531107304569,5.7559856640919165,
Vesterbro#3,7.630376328553309,9.364515522815983,
Vesterbro#4,7.349577142180037,11.208489878347388,
Vesterbro#5,10.153273588264224,16.04197539522037,
Vesterbro#6,12.257980975080423,20.610325807863234,
Vesterbro#7,19.037085510667698,28.798593744624867,
Vesterbro#8,16.98991072215336,25.03243246296641,
Vesterbro#9,14.441712860518754,24.164871593769018,
Vesterbro#10,18.815442121266088,25.04301637653057,
Vesterbro#11,15.522238459056197,26.5775743596855,
Vesterbro#12,16.419193012541044,21.46034151865792,
Vesterbro#13,16.186286420600357,22.610918740179816,
Vesterbro#14,13.523391383894765,19.37455645804025,
Vesterbro#15,15.836066951633718,20.426535953933467,
Vesterbro#16,15.040434438031772,25.308120510092717,
Vesterbro#17,16.01993276415983,21.23368851284577,
Vesterbro#18,14.122637403207866,19.26515304356235,
Vesterbro#19,13.197151065653577,21.714300506913943,
Vesterbro#20,12.62224538669379,19.68299319531042,
Vesterbro#21,11.676512033578852,20.15698357791812,
Vesterbro#22,12.71493872791847,17.69952767908148,
Vesterbro#23,13.613694061839139,19.489964965691218,
Vesterbro#24,10.891400173669073,15.751979706785097,
Vesterbro#25,9.822859047287753,6.9025994162512845,
Vesterbro#26,6.858587482991191,7.4838093216145145,
Vesterbro#27,7.28661898503881,6.652950913254107,
Vesterbro#28,10.134122070901201,6.688538832650334,
Vesterbro#29,10.577023598239958,17.83514808150452,
Vesterbro#30,11.900966770457208,18.34601186691233,
Vesterbro#31,14.657687163376488,17.911467557417524,
Vesterbro#32,14.76730901406948,24.786175566451313,
Vesterbro#33,14.586115875123582,29.952244794023606,
Vesterbro#34,19.426521697309195,31.534019019045946,
Vesterbro#35,15.014832850650302,21.45572953927018,
Vesterbro#36,14.382422418642848,20.12184911240144,
Vesterbro#37,16.129447390259898,26.820837623666154,
Vesterbro#38,14.779792893608334,22.37237045392848,
Vesterbro#39,13.06689790552798,20.941982785518192,
Vesterbro#40,16.153956529640286,22.895229989976325,
Vesterbro#41,15.228062374072989,19.44399366713871,
Vesterbro#42,12.939284514322242,19.438482149243736,
Vesterbro#43,14.837819346738344,19.26515304356235,
Vesterbro#44,13.814802371219093,17.884478331176357,
Vesterbro#45,14.650310880609915,17.585482993453606,
Vesterbro#46,13.63465182829099,19.368928459442692,
Vesterbro#47,13.116364449430574,16.40577085011735,
