,NO2,NOX
262,21.773083,43.75203
263,21.518806,42.920677
264,21.152334,41.95514
265,20.566536,39.737995
266,20.430103,38.60582
267,19.779568,37.319134
268,19.201857,35.531155
269,18.34437,33.325428
270,17.77032,31.984674
271,16.844856,30.14607
272,15.807107,28.367083
273,15.228182,26.212759
274,14.024925,24.316147
275,13.399962,22.575628
276,12.440664,20.841137
277,11.63266,18.89273
278,10.7897215,17.016186
279,10.411794,16.018848
280,9.984334,15.096144
281,9.561031,14.171724
282,9.332672,14.317837
283,9.67183,14.13438
284,9.924123,15.426966
285,10.911283,16.997261
286,11.641529,18.973022
287,12.904486,20.693954
288,16.233149,29.419102
289,17.257713,32.70999
290,17.956676,34.527534
291,18.69104,36.376575
292,18.839285,37.822468
293,18.82999,38.279045
294,18.81773,38.566174
295,18.38993,38.3684
296,18.338802,38.4019
297,18.02964,37.87814
298,17.897612,37.270096
299,17.767265,37.196606
300,17.78608,37.142967
301,17.68515,37.220245
302,17.936172,36.941566
303,18.080374,36.97238
304,18.300804,37.16438
305,18.195013,36.34226
306,18.242775,36.167915
307,18.10004,35.281292
308,18.015638,34.090416
309,17.774395,33.10531
310,17.231861,31.27034
311,16.77373,30.098877
312,16.147854,28.6609
313,15.223038,26.64322
314,14.591633,25.22578
315,13.777798,23.900476
316,13.092736,22.249933
317,12.097799,20.13395
318,11.585789,18.570623
319,10.503786,17.101297
320,9.719727,15.70933
321,8.910198,13.981802
322,8.049071,12.703943
323,7.611762,11.44005
324,7.084736,10.424892
325,6.913081,9.808529
326,6.728924,9.3242035
327,7.141389,9.788004
328,7.537427,10.596241
329,8.10414,11.323366
330,8.932312,13.533331
331,9.860715,15.075958
332,11.009052,18.018002
333,12.606749,21.009327
334,13.818328,24.313835
335,15.486103,26.856163
336,10.171667,15.872496
337,10.690518,17.53748
338,11.077036,18.518461
339,11.443683,19.442974
340,11.565605,20.128319
341,11.545908,20.262146
342,11.483187,20.284584
343,11.192104,19.715218
344,11.157749,19.901108
345,11.190024,19.458843
346,10.935355,18.873854
