,NO2,NOX
319,7.08,8.32
320,5.85,7.17
321,5.34,7.38
322,2.77,2.33
323,2.98,2.49
324,3.58,2.56
325,2.7,1.17
326,2.91,1.15
327,3.0,1.43
328,2.43,1.13
329,3.0,2.24
330,2.81,2.01
331,5.36,6.35
332,4.76,5.74
333,10.63,16.72
334,10.63,16.29
335,16.12,27.43
336,10.81,19.79
337,12.32,19.81
338,13.35,21.75
339,10.17,18.88
340,10.67,16.52
341,11.42,17.65
342,11.78,19.16
343,8.22,13.48
344,10.04,16.98
345,7.69,13.1
346,6.9,11.61
347,7.5,12.41
348,8.7,16.12
349,8.91,15.22
350,9.29,16.39
351,9.49,15.99
352,14.11,22.89
353,13.73,22.68
354,14.46,24.17
355,17.82,27.73
356,17.17,27.65
357,18.34,26.83
358,17.08,23.7
359,16.03,20.98
360,13.54,17.42
361,10.02,14.32
362,9.05,12.76
363,14.59,18.36
364,13.08,21.34
365,15.8,21.69
366,25.34,47.93
367,9.85,13.43
368,10.02,19.95
369,6.56,9.37
370,4.74,5.49
371,3.84,5.34
372,6.64,8.05
373,3.92,5.05
374,7.06,8.72
375,5.99,7.38
376,5.53,7.17
377,9.94,11.93
378,14.27,15.66
379,22.77,37.64
380,20.81,35.84
381,31.36,55.37
382,36.99,76.12
383,30.49,67.07
384,16.83,35.23
385,18.0,32.91
386,14.25,25.02
387,12.37,20.71
388,11.78,17.75
389,17.1,31.08
390,14.38,24.15
391,11.7,20.64
392,10.33,16.05
393,6.75,12.78
394,7.38,12.62
395,6.83,11.26
396,8.49,14.65
397,7.73,14.25
398,8.34,15.55
399,9.33,16.54
400,11.9,18.38
401,14.4,21.53
402,9.81,15.76
403,8.01,12.3
404,8.72,13.14
405,10.1,15.55
406,8.4,11.44
407,7.65,10.44
408,7.86,11.84
409,6.77,9.6
410,4.46,6.04
411,7.52,11.15
412,6.71,9.41
413,7.44,10.31
414,5.07,6.52
415,3.67,5.18
416,3.73,4.92
417,4.05,5.11
418,3.75,5.05
419,3.33,3.56
420,3.52,3.17
421,3.61,2.98
422,2.77,2.31
423,3.19,3.84
424,5.91,6.66
425,7.42,8.55
426,17.65,20.18
427,34.87,53.54
428,19.35,91.69
429,41.65,145.72
430,43.24,114.84
431,44.16,95.49
432,39.46,124.29
433,37.98,118.78
434,32.36,100.41
435,34.33,102.14
436,33.87,106.38
437,33.71,87.32
438,34.18,84.91
439,29.16,82.9
440,31.04,78.9
441,30.47,114.13
442,35.13,89.25
443,31.73,83.61
444,35.12,107.13
445,28.57,88.2
446,30.83,92.91
447,31.88,104.21
448,33.23,108.93
449,32.03,84.65
450,30.22,70.02
451,28.91,71.13
452,27.18,57.93
453,12.89,42.53
454,17.54,35.13
455,12.64,32.11
456,15.11,28.23
457,13.73,28.27
458,12.14,25.9
459,17.31,30.91
460,12.26,33.09
461,17.1,31.71
462,17.12,36.56
463,12.32,26.81
464,8.8,17.69
465,8.95,17.96
466,5.74,14.42
467,8.07,14.73
468,5.01,11.13
469,7.63,13.1
470,7.46,11.9
471,6.14,8.34
472,5.55,7.44
473,8.8,13.25
474,5.03,6.6
475,6.25,7.11
476,7.63,13.79
477,6.25,9.62
478,14.06,24.19
479,10.35,18.72
480,13.9,28.99
481,16.6,35.09
482,15.85,44.6
483,33.87,79.15
484,33.71,78.29
485,34.18,84.91
486,38.21,96.24
487,31.04,87.48
488,33.87,108.16
489,35.13,81.3
490,34.78,83.61
491,30.18,80.99
492,31.61,79.31
493,38.35,108.51
494,18.21,46.53
495,23.1,61.18
496,27.79,61.58
497,25.13,59.31
498,24.0,61.98
499,24.02,54.6
500,25.78,59.25
501,27.46,57.25
502,14.08,27.02
503,28.31,54.59
504,26.44,50.0
505,23.75,47.16
506,20.3,47.83
507,19.28,45.48
508,19.95,45.23
509,16.66,36.56
510,19.3,34.95
511,15.03,28.56
512,14.77,29.42
513,13.98,23.66
514,12.62,18.3
515,11.49,19.42
516,12.25,21.86
517,10.16,16.37
518,8.95,14.63
519,10.33,20.66
520,11.11,20.22
521,7.31,13.85
522,9.7,16.6
523,8.28,13.81
524,7.29,11.86
525,12.01,21.5
526,11.55,18.74
527,12.07,26.81
528,14.06,26.34
529,15.47,33.87
530,15.59,35.36
531,29.11,53.97
532,25.53,58.31
533,23.5,50.36
534,27.52,53.7
535,20.16,45.8
536,28.09,52.92
537,31.73,62.79
538,22.09,48.48
539,22.34,47.81
540,22.91,41.85
541,16.93,45.79
542,32.84,77.3
543,20.56,55.35
544,27.44,64.11
545,21.23,47.51
546,18.88,43.74
547,26.56,54.84
548,27.46,57.67
549,17.21,42.99
550,16.41,31.06
551,12.97,30.43
552,20.31,41.92
553,16.83,33.6
554,16.31,35.73
555,9.26,18.02
556,16.28,30.43
557,9.72,15.68
558,5.26,7.92
559,4.69,6.54
560,4.42,5.68
561,2.58,3.79
562,3.25,4.0
563,2.45,3.81
564,3.79,6.79
565,2.83,6.54
566,3.94,5.74
567,4.17,7.19
568,7.88,16.14
569,15.8,36.53
570,17.17,88.17
571,26.49,84.39
572,44.16,95.49
573,39.46,85.26
574,31.05,78.8
575,32.36,100.41
576,34.33,102.14
577,33.87,79.15
578,33.71,87.32
579,34.18,81.49
580,38.21,96.24
581,31.04,87.48
582,33.87,83.42
583,31.4,81.3
584,31.73,81.7
585,35.12,107.13
586,37.8,98.72
587,38.35,108.51
588,38.44,104.21
589,38.89,87.36
590,37.58,86.01
591,37.58,78.73
592,34.14,83.41
593,34.82,76.48
594,29.51,59.84
595,27.46,57.67
596,30.36,56.55
597,28.31,54.59
598,26.44,50.0
599,28.31,54.39
600,26.24,47.83
601,25.34,52.53
602,22.5,45.23
603,21.14,47.02
604,19.3,34.95
605,15.03,28.56
606,14.77,28.1
607,9.94,12.53
608,8.87,9.93
609,8.45,9.18
610,10.98,12.72
611,9.1,11.19
612,9.81,9.77
613,15.63,20.27
614,17.21,23.45
615,28.05,60.61
616,31.36,65.1
617,36.62,68.66
618,43.24,114.84
619,44.16,95.49
620,39.46,85.26
621,37.98,118.78
622,32.36,77.69
623,34.33,97.95
624,33.87,101.37
625,33.71,78.29
626,31.33,84.91
627,36.26,82.9
628,31.04,87.48
629,33.87,83.42
630,30.18,75.05
631,34.78,83.61
632,33.28,87.88
633,37.8,98.72
634,34.89,83.96
635,34.39,70.57
636,28.61,52.52
637,23.41,40.76
638,29.38,66.75
639,28.91,66.04
640,28.71,59.04
641,26.56,54.84
642,22.74,57.67
643,23.36,48.69
644,23.14,50.68
645,18.05,42.9
646,20.44,38.23
647,14.94,28.0
648,21.09,38.38
649,10.88,19.95
650,13.66,25.15
651,10.31,19.2
652,7.27,11.76
653,14.77,29.42
654,6.18,7.73
655,5.3,5.95
656,7.29,9.41
657,7.29,11.65
658,6.67,9.39
659,6.66,8.38
660,7.25,9.16
661,13.29,17.29
662,16.75,33.64
663,23.75,53.11
664,27.12,73.98
665,31.94,84.39
666,34.54,95.49
667,32.35,85.26
668,24.88,67.26
669,20.22,40.6
670,26.68,58.48
671,16.52,33.05
672,14.36,24.98
673,11.09,18.67
674,10.33,17.79
675,13.41,20.71
676,9.41,14.96
677,11.02,16.62
678,10.46,16.5
679,10.71,16.98
680,14.44,21.55
681,17.73,28.55
682,11.15,15.38
683,16.72,24.52
684,12.93,18.34
685,9.14,13.52
686,9.45,13.44
687,9.35,13.64
688,8.89,11.36
689,6.71,8.74
690,6.69,8.84
691,6.27,8.64
692,6.43,9.18
693,7.17,7.96
694,5.64,7.32
695,5.47,7.61
696,5.6,7.73
697,4.61,6.14
698,3.14,3.5
699,3.0,3.02
700,2.64,2.41
701,1.51,1.13
702,0.96,0.71
703,2.08,1.93
704,4.84,4.32
