,NO2,NOX,O3
997,2.54,2.62,61.21
998,3.27,3.35,60.85
999,3.48,3.44,60.8
1000,4.84,5.45,62.41
1001,6.71,6.98,60.54
1002,12.28,13.54,56.22
1003,15.47,19.05,53.05
1004,12.28,13.92,56.04
1005,12.58,14.23,55.24
1006,15.36,18.32,51.51
1007,11.69,13.27,57.92
1008,14.54,15.76,57.52
1009,12.66,13.62,57.08
1010,12.79,14.32,54.48
1011,5.41,6.22,57.68
1012,4.53,5.07,60.73
1013,4.67,5.24,60.99
1014,4.99,5.7,61.79
1015,5.09,5.89,60.73
1016,5.78,6.66,58.11
1017,5.18,6.14,55.0
1018,5.24,5.93,52.71
1019,6.46,7.65,52.09
1020,7.15,8.2,51.45
1021,6.01,6.66,53.64
1022,3.29,3.54,56.56
1023,3.04,3.23,56.66
1024,2.1,2.28,57.48
1025,2.7,2.7,56.38
1026,3.17,3.44,55.36
1027,3.94,4.25,54.04
1028,3.92,4.26,53.31
1029,4.99,5.53,52.33
1030,9.47,13.98,47.28
1031,4.09,3.9,52.77
1032,4.84,4.92,55.14
1033,4.76,4.92,56.86
1034,3.4,3.23,59.97
1035,1.24,1.15,65.76
1036,1.34,1.45,64.14
1037,1.09,0.82,67.14
1038,1.05,0.82,67.67
1039,2.22,2.05,64.08
1040,2.68,2.52,63.1
1041,2.52,2.52,62.13
1042,2.26,2.22,63.92
1043,2.89,1.99,58.89
1044,6.88,6.94,51.79
1045,11.77,12.63,41.35
1046,13.44,14.16,41.46
1047,15.11,15.7,41.57
1048,22.46,26.04,33.03
1049,25.22,34.32,16.19
1050,32.72,42.67,9.12
1051,39.11,65.07,1.96
1052,37.51,70.32,2.06
1053,32.42,66.71,2.0
1054,27.01,47.6,3.41
1055,18.93,29.94,8.08
1056,16.26,24.86,11.85
1057,16.74,23.07,13.27
1058,16.35,22.94,20.16
1059,15.57,21.98,21.57
1060,14.91,20.59,28.04
1061,15.16,21.16,30.25
1062,15.77,22.01,32.71
1063,15.34,20.64,33.27
1064,17.04,23.08,39.61
1065,17.63,23.43,31.59
1066,18.46,24.04,23.81
1067,18.33,23.28,13.67
1068,18.65,23.03,10.52
1069,16.71,20.78,6.73
1070,16.25,19.7,2.28
1071,16.78,21.19,3.21
1072,15.38,21.84,10.34
1073,20.64,22.46,12.45
1074,19.14,20.62,15.85
1075,18.0,18.52,12.71
1076,18.2,18.89,14.79
1077,20.73,21.49,24.61
1078,25.82,27.12,30.17
1079,11.17,12.32,39.38
1080,11.15,12.2,46.22
1081,8.72,9.41,51.01
1082,7.86,8.76,52.43
1083,5.3,5.51,55.6
1084,5.13,5.51,53.8
1085,4.8,4.86,54.9
1086,4.02,4.32,56.32
1087,2.98,3.23,57.34
1088,2.56,3.04,55.98
1089,2.77,2.89,55.04
1090,3.21,3.31,55.11
1091,3.71,4.23,55.18
1092,4.88,4.9,51.71
1093,6.23,6.41,48.38
1094,7.27,7.61,45.1
1095,8.19,8.74,43.43
1096,9.52,10.8,41.64
1097,10.86,12.87,39.85
1098,15.2,18.61,36.66
1099,19.22,24.65,34.61
1100,16.12,19.68,38.8
1101,14.08,16.81,41.19
1102,11.67,13.96,42.71
1103,12.41,14.88,41.75
1104,13.16,16.24,41.39
1105,13.67,16.24,40.31
1106,12.2,15.3,40.69
1107,11.84,15.64,41.35
1108,12.18,15.63,41.23
1109,11.96,15.97,37.66
1110,12.1,15.53,46.24
1111,12.17,16.58,54.94
1112,17.04,22.24,49.41
1113,17.63,23.43,46.74
1114,18.46,17.05,54.6
1115,18.33,23.28,49.45
1116,18.65,23.03,43.69
1117,16.71,20.78,44.84
1118,16.25,19.7,45.52
1119,16.34,18.46,47.94
1120,15.38,16.69,50.27
1121,14.06,15.78,51.63
1122,13.09,15.68,50.49
1123,10.33,11.21,59.41
1124,8.36,8.84,65.06
1125,7.11,7.65,66.46
1126,7.34,7.54,62.8
1127,6.18,7.11,64.38
1128,4.32,4.65,65.14
1129,5.64,5.97,63.24
1130,5.24,5.45,63.8
1131,2.91,3.25,68.84
1132,4.44,4.61,65.5
1133,2.95,3.06,66.66
1134,2.47,2.58,64.44
1135,3.17,3.4,62.21
1136,2.81,3.0,64.06
1137,2.37,2.62,64.48
1138,2.16,2.08,63.64
1139,2.1,2.33,64.75
1140,2.36,2.44,66.52
1141,2.62,2.54,68.28
1142,3.79,3.92,60.85
1143,3.04,3.04,60.8
1144,2.79,2.83,62.41
1145,4.53,4.67,60.54
1146,3.67,3.77,64.96
1147,4.28,4.21,64.78
1148,6.54,6.41,63.56
1149,5.7,5.81,69.82
1150,4.95,5.11,74.46
1151,3.33,3.48,76.34
1152,4.25,4.02,73.04
1153,6.77,7.36,66.74
1154,8.05,9.37,61.87
1155,9.29,10.67,60.79
1156,11.0,13.2,58.61
1157,10.44,12.03,61.47
1158,7.1,7.88,69.17
1159,6.98,7.42,69.39
1160,12.22,12.99,59.31
1161,8.55,8.91,59.77
1162,10.04,10.56,59.23
1163,14.18,16.66,52.95
1164,18.65,23.03,41.97
1165,16.71,20.78,31.25
1166,16.25,19.7,20.8
1167,16.78,21.19,20.52
1168,15.38,21.84,30.59
1169,20.64,22.46,30.87
1170,17.94,17.58,36.34
1171,12.97,15.49,37.7
1172,12.02,13.66,40.05
1173,11.91,13.12,41.63
1174,9.43,9.96,44.01
1175,9.81,10.08,44.84
1176,9.24,9.47,45.94
1177,9.58,9.75,47.3
1178,8.34,8.41,49.49
1179,6.62,6.48,54.38
1180,5.55,5.3,57.02
1181,5.76,5.36,57.78
1182,7.71,7.77,54.02
1183,7.5,7.79,53.29
1184,7.83,7.76,56.59
1185,5.7,5.39,59.89
1186,5.76,5.34,59.95
1187,6.16,5.62,64.75
1188,5.36,4.99,70.05
1189,5.55,5.2,59.11
1190,5.34,5.12,59.08
1191,5.14,5.05,59.05
1192,4.76,5.09,60.95
1193,5.16,5.14,60.54
1194,14.86,14.82,48.1
1195,13.41,13.58,49.39
1196,8.95,8.91,54.28
1197,7.31,7.78,55.78
1198,13.27,13.81,49.45
1199,13.88,14.1,48.0
1200,7.27,7.4,51.99
1201,8.78,9.22,49.63
1202,9.37,9.91,49.99
1203,7.65,8.4,52.57
1204,7.5,8.47,52.41
1205,7.76,8.99,51.81
1206,7.88,8.91,51.67
1207,8.7,9.77,50.59
1208,10.08,10.82,49.83
1209,9.43,10.12,50.21
1210,11.91,12.72,47.1
1211,18.33,16.97,38.92
1212,18.65,23.03,35.08
1213,15.05,16.22,42.47
1214,12.05,12.85,46.24
1215,9.98,10.44,48.97
1216,11.07,11.9,45.96
1217,9.7,10.48,47.66
1218,7.96,8.87,50.61
1219,8.45,9.03,51.77
1220,7.61,8.15,52.07
1221,11.3,11.86,46.26
1222,9.85,10.16,46.38
1223,8.47,8.84,48.24
1224,5.7,5.78,50.91
1225,6.06,5.68,50.55
1226,6.08,5.87,52.01
1227,5.43,5.28,52.61
1228,4.36,4.26,53.27
1229,4.19,4.36,53.68
1230,3.46,3.37,54.56
1231,3.46,3.4,53.76
1232,3.82,3.96,53.56
1233,3.81,4.0,53.62
1234,3.44,3.16,54.37
1235,3.79,3.61,55.12
1236,4.05,4.26,54.38
1237,5.51,6.1,52.73
1238,6.08,6.25,51.07
1239,8.13,8.47,48.12
1240,9.7,10.58,46.4
1241,11.28,12.68,44.68
1242,14.73,17.16,42.01
1243,15.97,18.67,41.51
1244,12.74,15.03,43.97
1245,14.5,16.43,41.09
1246,15.28,21.99,39.38
1247,12.78,14.4,42.55
1248,16.26,21.42,36.64
1249,13.71,18.28,39.44
1250,11.09,13.6,42.51
1251,15.57,21.98,41.27
1252,11.99,15.24,41.89
1253,11.96,15.4,41.39
1254,15.77,15.53,37.7
1255,12.17,15.32,40.89
1256,13.38,16.29,39.87
1257,12.37,15.22,41.67
1258,13.29,15.4,40.79
1259,14.18,16.97,37.32
1260,18.65,16.46,35.26
1261,16.71,20.78,34.92
1262,16.25,19.7,32.89
1263,16.78,20.66,35.38
1264,13.62,15.59,41.53
1265,12.14,13.5,42.61
1266,13.09,16.49,37.98
1267,12.97,18.52,33.95
1268,12.02,14.75,36.34
1269,11.91,14.13,36.3
1270,11.88,14.09,34.13
1271,11.17,12.32,34.84
1272,11.15,12.2,37.86
1273,10.45,11.83,41.33
1274,9.22,10.1,45.82
1275,7.63,8.17,49.87
1276,6.04,6.29,54.54
1277,5.83,6.27,54.86
1278,5.62,5.72,53.92
1279,5.43,5.57,52.99
1280,5.68,5.97,51.75
1281,5.91,6.04,49.71
1282,6.08,6.2,47.2
1283,5.91,6.2,46.62
1284,6.68,7.1,42.84
1285,7.46,8.01,39.06
1286,7.08,7.71,37.84
1287,8.41,9.64,34.19
1288,9.47,10.84,30.29
1289,11.99,14.59,25.43
1290,15.15,20.27,21.01
1291,19.74,29.76,16.86
1292,18.25,24.59,19.64
1293,18.0,25.11,22.73
1294,15.74,19.26,25.76
1295,15.15,19.12,25.96
1296,16.26,21.67,26.26
1297,13.71,18.74,29.88
1298,13.84,18.28,30.19
1299,12.14,15.72,33.03
1300,12.34,15.7,34.47
1301,11.96,15.97,34.69
1302,12.1,15.53,37.18
1303,15.34,20.64,35.34
1304,16.42,17.73,40.41
1305,17.63,23.43,37.06
1306,18.46,24.04,38.28
1307,18.33,23.28,38.78
1308,18.65,22.44,39.87
1309,16.71,20.78,38.52
1310,16.25,19.7,36.02
1311,16.78,21.19,33.45
1312,15.38,21.84,31.69
1313,20.64,22.46,28.88
1314,19.14,20.62,27.1
1315,18.0,18.52,25.68
1316,18.2,18.89,28.94
1317,11.91,14.13,36.24
1318,11.88,14.09,36.48
1319,11.17,12.32,41.33
1320,9.05,9.64,49.09
1321,6.37,6.67,54.04
1322,5.64,6.1,54.92
1323,5.16,5.58,55.78
1324,5.45,5.95,53.15
1325,3.92,4.42,60.05
1326,3.6,3.79,58.87
1327,5.76,5.95,51.83
1328,5.55,5.91,52.8
1329,4.74,4.95,53.78
1330,4.61,4.84,60.03
1331,4.48,4.72,58.35
1332,3.06,3.23,61.39
1333,3.75,4.3,57.68
1334,5.43,5.78,56.74
1335,7.11,7.25,55.8
1336,7.78,7.88,57.02
1337,7.4,7.73,59.03
1338,10.06,10.81,57.68
1339,10.14,11.11,60.89
1340,13.88,15.19,56.9
1341,14.8,15.99,55.14
1342,12.05,13.6,57.76
1343,10.16,11.38,58.29
1344,11.7,13.31,55.6
1345,12.57,14.21,54.04
1346,8.3,9.58,60.47
1347,6.67,7.67,61.63
1348,7.21,8.01,60.13
1349,6.39,7.06,62.01
1350,5.57,6.18,64.34
1351,5.14,5.79,63.88
1352,8.26,9.03,61.93
1353,6.39,7.21,61.45
1354,8.34,9.33,61.57
1355,6.75,7.15,64.0
1356,5.18,5.66,65.9
1357,6.01,6.52,64.34
1358,5.87,6.45,63.96
1359,4.99,4.88,63.84
1360,3.06,3.16,65.82
1361,3.6,3.77,64.38
1362,6.88,7.13,59.71
1363,4.7,4.86,60.47
1364,3.75,3.79,63.36
1365,2.83,2.77,64.18
1366,3.29,3.23,64.0
1367,2.52,2.37,65.14
1368,3.12,2.73,65.64
1369,1.87,1.63,70.14
1370,1.57,1.42,71.5
1371,1.32,0.9,72.08
1372,1.34,1.22,72.83
1373,1.11,0.5,73.8
1374,1.07,0.78,75.27
1375,0.55,0.0,74.23
1376,0.84,0.63,74.27
1377,0.71,0.67,73.46
1378,0.84,0.57,72.86
1379,1.28,1.15,72.26
1380,2.01,1.57,70.05
1381,2.03,1.76,69.21
1382,1.36,1.11,69.14
1383,1.51,1.32,68.65
1384,2.36,2.44,67.4
1385,3.21,3.56,66.15
1386,4.4,4.9,64.96
1387,5.3,5.91,66.31
1388,5.79,6.5,69.39
1389,4.92,5.3,69.82
1390,4.04,4.53,71.13
1391,4.8,5.28,72.52
1392,4.95,5.66,73.04
1393,4.13,4.84,74.96
1394,3.42,4.25,75.86
1395,3.48,3.98,75.62
1396,3.25,3.77,75.38
1397,3.29,3.77,75.2
1398,3.92,4.07,75.28
1399,3.98,4.7,74.12
1400,4.74,5.62,73.66
1401,4.86,5.91,72.58
1402,4.61,5.51,75.68
1403,3.19,3.79,75.68
1404,3.12,3.29,74.98
1405,2.87,2.73,75.54
1406,2.95,3.16,75.8
1407,3.12,3.4,74.6
1408,3.14,3.33,73.78
1409,3.02,3.06,73.54
1410,2.75,2.75,73.24
1411,1.95,1.97,73.84
1412,2.1,2.07,76.7
1413,1.78,2.01,75.18
1414,1.8,1.63,73.3
1415,1.19,1.13,72.1
1416,1.66,1.64,71.55
1417,1.15,1.19,71.68
1418,1.13,0.99,71.5
1419,1.17,1.19,72.08
1420,0.94,0.96,73.59
1421,1.13,1.15,73.8
1422,1.43,0.61,74.02
1423,1.55,0.75,74.23
1424,1.36,1.03,74.27
1425,0.54,0.21,73.46
1426,0.55,0.77,71.49
1427,0.54,0.61,72.26
1428,0.78,0.66,70.74
1429,1.01,0.71,69.21
1430,1.38,1.07,69.14
1431,1.8,1.34,68.65
1432,2.54,2.45,67.21
1433,2.7,2.64,66.15
1434,4.05,4.02,64.96
1435,5.45,5.78,66.31
1436,3.96,3.98,69.39
1437,4.51,4.3,72.23
1438,5.37,5.43,75.33
1439,4.61,4.88,77.24
1440,5.03,5.32,73.04
1441,5.18,5.26,74.98
1442,6.75,7.59,75.68
1443,7.11,8.32,75.12
1444,8.26,9.93,73.46
1445,6.92,7.98,74.8
1446,7.71,8.61,73.68
1447,7.88,9.18,71.81
1448,8.49,9.58,70.71
1449,8.91,9.79,70.13
1450,10.9,11.67,67.45
1451,14.18,15.68,63.74
1452,12.13,12.72,64.64
1453,13.69,14.63,62.19
1454,10.65,10.61,65.54
1455,12.81,13.2,62.66
1456,14.63,15.82,59.89
1457,13.58,13.75,61.15
1458,11.28,11.51,68.23
1459,11.82,11.61,68.07
1460,12.02,12.24,65.42
1461,11.91,14.13,56.12
1462,11.88,14.09,55.62
1463,21.92,12.32,48.66
1464,11.15,12.2,59.47
1465,9.85,9.87,64.24
1466,10.25,11.54,54.46
1467,9.26,8.95,60.73
1468,4.88,4.67,66.2
1469,3.73,3.29,66.16
1470,3.39,2.87,65.3
1471,6.04,5.68,56.96
1472,7.32,6.58,52.96
1473,7.13,6.69,48.97
1474,7.16,7.54,48.54
1475,8.22,7.99,43.99
1476,6.43,5.89,44.01
1477,5.18,4.88,48.89
1478,5.32,5.28,47.5
1479,5.45,5.68,46.1
1480,7.65,7.82,43.45
1481,9.18,9.14,42.97
1482,9.12,9.52,43.47
1483,15.34,16.05,35.48
1484,15.19,15.63,34.96
1485,16.83,17.46,34.11
1486,16.21,23.41,33.05
1487,18.93,22.62,34.09
1488,11.61,13.16,55.56
1489,8.11,9.24,61.77
1490,8.64,10.25,61.57
1491,6.48,7.9,64.16
1492,6.69,7.57,64.42
1493,5.79,6.58,65.98
1494,4.59,5.45,67.71
1495,5.53,5.97,65.94
1496,6.02,6.92,65.96
1497,5.89,6.71,65.06
1498,7.54,8.2,64.42
1499,9.6,10.37,62.51
1500,9.85,10.81,58.89
1501,8.13,9.2,60.05
1502,9.56,10.44,59.35
1503,8.19,9.28,58.49
1504,9.64,10.29,55.9
1505,7.13,7.67,58.33
1506,6.25,6.88,59.03
1507,4.97,5.32,61.55
1508,5.3,5.64,61.15
1509,4.84,5.16,62.11
1510,4.65,4.86,62.09
1511,3.73,4.34,61.81
1512,5.72,5.81,57.52
1513,5.34,5.51,56.92
1514,3.75,4.28,59.57
1515,3.08,3.6,58.93
1516,2.47,2.87,58.19
1517,2.39,2.58,57.38
1518,2.2,2.18,55.86
1519,2.2,2.41,55.34
1520,1.64,1.72,55.16
1521,1.64,1.47,54.84
1522,1.76,1.61,54.04
1523,2.03,2.35,53.25
1524,2.05,2.03,51.27
1525,3.17,2.49,46.78
1526,4.82,4.92,40.91
1527,6.5,6.77,37.48
1528,7.12,7.4,37.54
1529,7.75,8.03,37.6
1530,8.09,8.85,36.76
1531,7.8,8.22,37.78
1532,7.61,8.36,40.85
1533,7.32,8.09,44.44
1534,5.26,6.14,51.85
1535,4.51,5.3,55.16
1536,5.45,6.27,55.2
1537,5.36,6.23,54.9
1538,6.39,7.36,53.86
1539,5.83,7.0,52.61
1540,5.32,6.43,53.7
1541,4.72,5.55,56.16
1542,4.15,5.11,56.34
1543,3.9,4.44,56.78
1544,3.58,4.26,58.39
1545,3.56,4.21,62.11
1546,2.7,3.06,74.54
1547,1.97,2.7,80.67
1548,2.05,2.28,80.53
1549,2.31,2.81,84.2
1550,2.08,2.72,85.87
1551,2.1,2.56,85.87
1552,1.84,2.2,84.57
1553,1.68,2.24,82.49
1554,1.87,2.49,81.28
1555,1.93,2.2,79.94
1556,1.43,1.55,76.7
1557,1.22,1.51,75.18
1558,1.13,1.47,73.3
1559,1.15,1.55,72.1
1560,1.09,1.47,71.55
1561,1.11,1.45,71.68
1562,1.26,1.47,71.5
1563,0.98,1.2,72.08
1564,0.33,0.75,73.59
1565,0.73,1.17,73.8
1566,0.69,1.07,74.02
1567,0.67,1.07,74.23
1568,0.42,1.01,74.27
1569,0.52,0.96,73.46
1570,0.67,0.88,71.49
1571,0.48,1.05,72.26
1572,0.87,1.03,70.74
1573,1.26,1.01,69.21
1574,1.17,0.86,69.14
1575,1.57,1.22,68.65
1576,1.42,1.43,67.21
1577,2.95,3.1,66.15
1578,3.23,3.6,64.96
1579,5.64,6.41,66.31
1580,7.71,8.4,69.39
1581,9.16,9.54,72.23
1582,6.27,6.5,75.33
1583,4.72,5.05,77.24
1584,6.52,7.17,79.74
1585,5.57,6.25,80.95
1586,4.19,5.18,75.86
1587,3.96,5.03,76.73
1588,3.86,4.9,77.81
1589,3.73,4.59,78.16
1590,3.52,4.44,78.69
1591,4.19,5.32,79.21
1592,3.71,4.55,78.11
1593,4.49,5.39,77.71
1594,5.95,7.15,75.8
1595,6.48,7.17,74.34
1596,8.01,8.93,71.45
1597,11.17,11.93,68.09
1598,14.23,15.24,63.92
1599,11.15,11.19,65.48
1600,11.88,12.3,64.64
1601,7.34,7.55,72.06
1602,5.64,5.93,72.48
1603,6.9,7.19,71.65
1604,6.85,7.11,71.67
1605,7.69,7.98,69.27
1606,5.26,5.37,72.44
1607,4.93,5.07,72.1
1608,4.48,4.36,71.55
1609,2.37,2.28,71.68
1610,3.84,3.81,71.5
1611,2.6,2.52,72.08
1612,2.72,2.66,68.11
1613,2.56,2.47,68.43
1614,3.54,3.1,66.56
1615,4.02,3.69,63.3
1616,4.11,4.05,61.68
1617,4.82,4.92,60.07
1618,4.78,4.78,62.72
1619,3.79,3.56,63.38
1620,5.41,5.58,64.27
1621,8.2,8.09,61.49
1622,7.77,7.98,64.36
1623,7.34,7.88,67.23
1624,7.65,8.3,67.21
1625,5.09,5.78,66.15
1626,6.16,6.64,64.96
1627,7.26,7.86,66.31
1628,8.35,9.09,69.39
1629,9.45,10.31,69.82
1630,4.09,4.7,71.13
1631,4.4,5.26,72.52
1632,4.0,4.59,73.04
1633,3.81,4.34,74.98
1634,3.29,3.73,75.86
1635,3.56,4.23,75.92
1636,3.63,4.57,75.76
1637,3.67,4.8,75.94
1638,4.88,5.64,74.74
1639,4.9,5.79,73.52
1640,4.82,5.78,72.9
1641,5.78,6.41,71.75
1642,4.57,5.45,71.79
1643,3.29,3.77,72.24
1644,4.21,4.72,70.39
1645,4.51,4.74,69.27
1646,5.2,5.66,66.56
1647,5.07,5.6,65.28
1648,4.74,5.11,65.78
1649,5.01,5.32,63.12
1650,7.13,7.61,59.05
1651,6.43,6.81,56.1
1652,7.55,8.38,52.65
1653,7.17,7.48,51.29
1654,7.75,8.4,49.43
1655,7.65,8.19,49.81
1656,9.45,9.94,46.02
1657,10.17,10.84,44.62
1658,10.25,11.11,43.13
1659,10.28,11.19,41.39
1660,9.34,9.84,43.05
1661,8.37,9.35,46.9
1662,7.94,8.57,47.5
1663,7.5,7.79,49.93
1664,7.83,8.16,47.7
1665,7.13,7.54,49.81
1666,7.16,7.54,46.31
1667,8.46,8.54,42.81
1668,12.55,8.62,38.14
1669,11.77,12.63,34.29
1670,13.66,14.38,34.86
1671,14.44,15.22,35.34
1672,13.5,14.34,40.38
1673,12.55,13.46,45.42
1674,12.09,13.0,51.63
1675,11.62,12.54,53.64
1676,11.16,12.07,55.36
1677,10.69,11.61,53.05
1678,10.23,11.15,52.69
1679,9.94,11.11,53.95
1680,9.33,10.51,55.22
1681,8.72,9.92,56.48
1682,8.12,9.32,57.74
1683,7.51,8.73,59.01
1684,6.9,8.13,60.27
1685,6.88,8.78,59.63
1686,6.94,7.9,59.23
1687,7.34,8.05,58.39
1688,8.38,10.1,57.04
1689,7.69,9.18,57.64
1690,7.82,9.58,58.67
1691,7.8,9.54,59.91
1692,6.67,7.21,61.11
1693,3.98,4.38,71.85
1694,2.68,2.68,80.91
1695,2.89,3.1,74.0
1696,2.62,2.95,77.21
1697,2.28,2.75,77.89
1698,2.01,2.16,78.72
1699,1.74,2.05,79.94
1700,1.66,1.68,76.7
1701,1.66,1.76,75.18
1702,1.45,1.4,73.3
1703,1.07,1.3,72.1
1704,1.49,1.3,71.55
1705,0.9,0.94,71.68
1706,0.57,0.59,71.5
1707,0.67,0.5,72.08
1708,0.57,0.29,73.59
1709,0.44,0.25,73.8
1710,0.36,0.11,74.02
1711,0.27,0.21,74.23
1712,0.5,0.69,74.27
1713,0.55,0.34,73.46
1714,0.08,0.27,71.49
1715,0.5,0.34,72.26
1716,0.8,0.72,70.74
1717,1.09,1.09,69.21
1718,1.15,1.34,69.14
1719,1.24,1.22,68.65
1720,1.68,2.07,67.21
1721,2.72,3.23,66.15
1722,3.56,4.02,64.96
1723,5.51,6.43,66.31
1724,4.15,5.07,67.22
1725,3.67,3.96,69.51
1726,3.77,4.04,68.53
1727,3.69,4.4,68.83
1728,3.02,3.84,70.21
1729,3.27,3.9,72.24
1730,3.16,4.13,74.0
1731,2.75,3.52,75.36
1732,3.23,4.13,75.7
1733,2.79,3.46,75.26
1734,2.91,4.02,74.44
1735,3.06,3.67,72.26
1736,2.56,3.27,72.74
1737,3.06,3.77,71.47
1738,3.52,4.38,70.45
1739,3.75,4.36,69.43
1740,3.75,4.67,69.07
1741,4.3,4.88,68.79
1742,5.24,6.18,66.68
1743,6.29,7.23,65.0
1744,4.46,5.03,66.58
1745,5.26,5.83,65.98
1746,4.15,4.7,67.2
1747,2.64,2.81,67.75
1748,3.98,4.19,66.86
1749,4.07,4.49,66.42
1750,3.94,4.38,67.14
1751,4.17,4.69,65.96
1752,3.77,4.13,65.74
1753,3.17,3.17,66.1
1754,3.42,3.5,65.64
1755,2.66,2.7,66.04
1756,2.16,2.3,65.94
1757,2.52,2.49,65.8
1758,2.22,2.2,66.28
1759,2.16,2.05,66.89
1760,2.26,2.14,66.66
1761,2.05,1.8,66.43
1762,2.54,2.35,67.16
1763,2.35,2.45,64.75
1764,3.5,3.71,64.27
1765,3.9,3.84,68.28
1766,4.42,4.44,64.54
1767,4.93,5.05,60.8
1768,8.97,9.22,62.29
1769,12.37,12.89,58.31
1770,16.2,17.27,57.7
1771,20.22,22.26,54.34
1772,19.73,26.78,50.71
1773,14.11,14.5,62.53
1774,10.0,10.73,64.64
1775,13.35,14.75,60.63
1776,11.99,13.92,65.06
1777,7.21,8.36,74.02
1778,6.85,8.36,72.32
1779,10.04,11.48,68.39
1780,8.51,9.37,68.89
1781,7.32,8.26,68.67
1782,7.11,8.05,70.59
1783,8.64,9.79,71.83
1784,10.08,11.21,70.79
1785,9.33,9.98,72.3
1786,5.91,6.73,75.36
1787,5.89,6.83,73.68
1788,6.75,7.5,72.56
1789,6.77,7.57,71.57
1790,7.1,7.76,69.35
1791,8.4,8.89,67.49
1792,6.85,7.63,67.53
1793,6.48,7.36,65.34
1794,5.64,6.04,63.7
1795,6.27,6.69,60.49
1796,7.15,7.75,59.53
1797,11.91,13.12,52.07
1798,11.88,14.09,47.84
1799,11.17,12.32,50.39
1800,11.15,12.2,43.61
1801,21.26,22.12,15.65
1802,19.72,20.4,16.38
1803,18.76,19.01,29.6
1804,16.12,16.53,30.61
1805,14.99,15.36,29.46
1806,15.58,17.51,29.0
1807,13.9,15.37,18.48
1808,14.23,15.59,21.15
1809,11.6,12.41,27.3
1810,11.9,12.93,28.64
1811,11.74,12.27,29.98
1812,12.55,12.84,27.58
1813,11.77,12.63,32.59
1814,9.62,9.85,48.1
1815,9.22,9.56,48.62
1816,9.35,9.58,46.47
1817,9.47,9.6,44.32
1818,11.78,11.86,39.55
1819,9.51,10.04,39.97
1820,12.35,14.21,33.79
1821,12.58,14.23,32.91
1822,10.42,11.78,34.31
1823,12.68,14.04,32.23
1824,13.85,15.95,32.39
1825,13.71,16.22,34.09
1826,16.29,19.54,35.64
1827,15.57,19.41,44.68
1828,10.67,12.16,62.33
1829,8.76,9.6,67.35
1830,7.75,8.55,70.83
1831,6.31,7.36,72.92
1832,6.9,7.34,74.68
1833,7.15,7.78,74.78
1834,8.43,8.97,72.58
1835,6.52,6.69,71.33
1836,8.4,8.82,67.35
1837,8.11,8.41,69.53
1838,9.14,9.29,69.19
1839,9.24,9.45,67.85
1840,9.87,9.98,64.42
1841,10.46,10.63,61.69
1842,7.98,7.94,63.74
1843,10.1,10.61,59.77
1844,7.21,7.38,63.54
1845,6.66,6.75,61.81
1846,8.11,8.24,59.93
1847,7.75,7.84,58.71
1848,8.74,8.64,57.74
1849,8.19,8.51,59.53
1850,4.21,4.05,62.27
1851,4.38,4.51,63.26
1852,4.65,4.82,65.46
1853,4.13,4.46,67.0
1854,4.7,4.9,66.94
1855,2.14,2.47,66.89
1856,4.38,4.36,67.06
1857,6.12,6.14,64.44
1858,6.52,6.16,63.06
1859,3.92,3.94,64.75
1860,4.31,4.44,63.76
1861,4.7,4.95,62.78
1862,4.44,4.48,60.85
1863,5.32,5.11,60.8
1864,2.52,2.26,67.21
1865,2.28,2.2,66.15
1866,1.11,1.26,64.96
1867,1.7,1.4,66.31
1868,1.78,1.76,69.39
1869,1.7,1.47,71.8
1870,2.18,2.31,69.25
1871,2.56,2.85,67.81
1872,3.48,3.52,65.74
1873,3.88,3.96,64.24
1874,3.9,4.07,63.14
1875,4.88,5.34,60.81
1876,6.01,6.67,57.92
1877,5.81,6.71,58.13
1878,6.25,7.36,57.98
1879,6.75,7.9,57.3
1880,6.33,7.23,60.33
1881,6.85,7.84,58.73
1882,6.06,6.45,55.7
1883,5.01,5.43,58.29
1884,4.07,4.57,60.07
1885,4.69,4.84,58.41
1886,4.34,4.88,58.09
1887,3.79,4.17,58.53
1888,3.48,3.73,61.15
1889,3.42,3.63,61.67
1890,4.48,4.36,61.57
1891,4.51,4.78,62.72
1892,4.26,4.53,62.33
1893,2.72,2.83,65.16
1894,2.79,3.12,64.08
1895,3.1,3.35,63.66
1896,3.73,3.73,65.34
1897,2.12,2.01,68.51
1898,1.76,2.08,71.5
1899,1.22,1.47,72.08
1900,1.38,1.38,68.11
1901,1.11,1.3,73.8
1902,1.32,1.3,68.3
1903,1.51,1.7,66.89
1904,1.11,1.07,66.66
1905,1.43,1.45,66.43
1906,0.99,0.88,71.49
1907,0.98,0.99,72.26
1908,1.22,1.45,70.05
1909,2.05,2.24,69.21
1910,2.78,2.74,68.93
1911,3.52,3.23,68.65
1912,2.83,2.47,67.21
1913,4.72,4.92,66.15
1914,4.55,4.9,64.96
1915,7.78,8.4,66.31
1916,5.85,6.31,67.22
1917,6.22,6.41,66.08
1918,6.12,6.41,65.02
1919,6.29,6.67,65.76
1920,6.39,6.62,65.38
1921,6.66,7.13,66.88
1922,5.66,6.14,68.11
1923,5.01,5.3,68.67
1924,5.76,5.89,66.42
1925,5.16,5.32,65.66
1926,4.72,4.92,65.1
1927,5.66,6.18,64.78
1928,5.74,6.2,65.56
