Recorded;CO;NO2;SO2;NOx;PM_2.5_Lvs;comment
15-01-2021 00:00:00;0.21;7.63;-0.67;12.18;9.44;Data er manuelt kontrolleret
14-01-2021 23:30:00;0.24;11.11;-0.49;19.89;;Data er manuelt kontrolleret
14-01-2021 23:00:00;0.29;17.5;-0.41;39.38;;Data er manuelt kontrolleret
14-01-2021 22:30:00;0.33;17.69;-0.49;52.29;;Data er manuelt kontrolleret
14-01-2021 22:00:00;0.3;19.3;-0.73;42.4;;Data er manuelt kontrolleret
14-01-2021 21:30:00;0.31;24.59;-0.64;51.22;;Data er manuelt kontrolleret
14-01-2021 21:00:00;0.34;30.26;-0.67;69.1;;Data er manuelt kontrolleret
14-01-2021 20:30:00;0.26;16.91;-0.41;33.09;;Data er manuelt kontrolleret
14-01-2021 20:00:00;0.23;15.63;0.06;24;;Data er manuelt kontrolleret
14-01-2021 19:30:00;0.24;14.78;-0.46;25.9;;Data er manuelt kontrolleret
14-01-2021 19:00:00;0.35;34.58;0.03;79.81;;Data er manuelt kontrolleret
14-01-2021 18:30:00;0.29;28.42;-0.46;75.89;;Data er manuelt kontrolleret
14-01-2021 18:00:00;0.34;42.04;-0.23;116.72;;Data er manuelt kontrolleret
14-01-2021 17:30:00;0.35;45.52;-0.2;114.64;;Data er manuelt kontrolleret
14-01-2021 17:00:00;0.43;62.84;-0.03;172.87;;Data er manuelt kontrolleret
14-01-2021 16:30:00;0.37;55;0.15;194.9;;Data er manuelt kontrolleret
14-01-2021 16:00:00;0.4;50.8;0.2;183.47;;Data er manuelt kontrolleret
14-01-2021 15:30:00;0.49;67.95;0.29;227.84;;Data er manuelt kontrolleret
14-01-2021 15:00:00;0.42;58.83;0.35;197.71;;Data er manuelt kontrolleret
14-01-2021 14:30:00;0.42;64.32;0.35;196.91;;Data er manuelt kontrolleret
14-01-2021 14:00:00;0.44;28.42;0.12;182.03;;Data er manuelt kontrolleret
14-01-2021 13:30:00;0.38;53.99;0.09;176.81;;Data er manuelt kontrolleret
14-01-2021 13:00:00;0.35;36.57;0.09;138.2;;Data er manuelt kontrolleret
14-01-2021 12:30:00;0.33;43.3;-1.25;132.96;;Data er manuelt kontrolleret
14-01-2021 12:00:00;0.37;12.6;-1.02;162.83;;Data er manuelt kontrolleret
14-01-2021 11:30:00;0.31;38.25;-0.61;106.24;;Data er manuelt kontrolleret
14-01-2021 11:00:00;0.29;34.31;-0.38;114.2;;Data er manuelt kontrolleret
14-01-2021 10:30:00;0.4;37.85;0.32;135.41;;Data er manuelt kontrolleret
14-01-2021 10:00:00;0.33;49.44;0.46;162.93;;Data er manuelt kontrolleret
14-01-2021 09:30:00;0.38;40.81;0.09;132.96;;Data er manuelt kontrolleret
14-01-2021 09:00:00;0.33;41.41;-0.2;126.55;;Data er manuelt kontrolleret
14-01-2021 08:30:00;0.29;51.2;-0.09;130.8;;Data er manuelt kontrolleret
14-01-2021 08:00:00;0.35;36.91;-0.09;123.99;;Data er manuelt kontrolleret
14-01-2021 07:30:00;0.4;50.41;-0.06;183.93;;Data er manuelt kontrolleret
14-01-2021 07:00:00;0.34;44.7;0.12;132.77;;Data er manuelt kontrolleret
14-01-2021 06:30:00;0.37;40.01;0.12;128.67;;Data er manuelt kontrolleret
14-01-2021 06:00:00;0.33;20.31;0.15;106.95;;Data er manuelt kontrolleret
14-01-2021 05:30:00;0.27;32.9;-0.55;72.85;;Data er manuelt kontrolleret
14-01-2021 04:30:00;0.22;4.97;-0.93;8.19;;Data er manuelt kontrolleret
14-01-2021 04:00:00;0.2;4.49;-1.07;6.88;;Data er manuelt kontrolleret
14-01-2021 03:30:00;0.21;3.37;-0.93;4.48;;Data er manuelt kontrolleret
14-01-2021 03:00:00;0.21;1.76;-0.46;2.14;;Data er manuelt kontrolleret
14-01-2021 02:30:00;0.22;2.73;-0.61;3.56;;Data er manuelt kontrolleret
14-01-2021 02:00:00;0.23;2.81;-0.52;4.04;;Data er manuelt kontrolleret
14-01-2021 01:30:00;0.22;2.64;-0.61;3.58;;Data er manuelt kontrolleret
14-01-2021 01:00:00;0.22;2.41;-0.46;3.77;;Data er manuelt kontrolleret
14-01-2021 00:30:00;0.24;4.88;-0.61;14.65;;Data er manuelt kontrolleret
14-01-2021 00:00:00;0.24;2.72;-0.38;4.28;7.52;Data er manuelt kontrolleret
13-01-2021 23:30:00;0.26;7.94;-0.09;18.25;;Data er manuelt kontrolleret
13-01-2021 23:00:00;0.31;13.64;0.2;49.13;;Data er manuelt kontrolleret
13-01-2021 22:30:00;0.26;11.51;-0.29;22.85;;Data er manuelt kontrolleret
13-01-2021 22:00:00;0.31;11.19;-0.38;29.17;;Data er manuelt kontrolleret
13-01-2021 21:30:00;0.27;11.09;-0.7;25.03;;Data er manuelt kontrolleret
13-01-2021 21:00:00;0.3;19.62;-0.46;49.65;;Data er manuelt kontrolleret
13-01-2021 20:30:00;0.27;12.2;0.12;41.85;;Data er manuelt kontrolleret
13-01-2021 20:00:00;0.27;21.92;-0.2;49.44;;Data er manuelt kontrolleret
13-01-2021 19:30:00;0.23;11.69;-0.49;27.92;;Data er manuelt kontrolleret
13-01-2021 19:00:00;0.23;25.07;-0.41;56.38;;Data er manuelt kontrolleret
13-01-2021 18:30:00;0.22;19.62;-0.17;49.09;;Data er manuelt kontrolleret
13-01-2021 18:00:00;0.23;28.23;-0.38;68.3;;Data er manuelt kontrolleret
13-01-2021 17:30:00;0.26;38.02;0.12;84.97;;Data er manuelt kontrolleret
13-01-2021 17:00:00;0.27;42.15;-0.58;111.25;;Data er manuelt kontrolleret
13-01-2021 16:30:00;0.29;52.31;-0.61;140.72;;Data er manuelt kontrolleret
13-01-2021 16:00:00;0.33;71.66;0.17;187.2;;Data er manuelt kontrolleret
13-01-2021 15:30:00;0.33;54.3;-0.12;156.37;;Data er manuelt kontrolleret
13-01-2021 15:00:00;0.35;74.66;-0.03;176.58;;Data er manuelt kontrolleret
13-01-2021 14:30:00;0.34;67.68;0.58;191.44;;Data er manuelt kontrolleret
13-01-2021 14:00:00;0.29;56.13;0.58;160.61;;Data er manuelt kontrolleret
13-01-2021 13:30:00;0.28;48.81;0.58;161.13;;Data er manuelt kontrolleret
13-01-2021 13:00:00;0.33;45.52;0.26;142.9;;Data er manuelt kontrolleret
13-01-2021 12:30:00;0.24;55.62;0.29;112.7;;Data er manuelt kontrolleret
13-01-2021 12:00:00;0.24;32.88;0.67;102.17;;Data er manuelt kontrolleret
13-01-2021 11:30:00;0.27;32.67;0.26;88.32;;Data er manuelt kontrolleret
13-01-2021 11:00:00;0.24;37.08;0.23;105.34;;Data er manuelt kontrolleret
13-01-2021 10:30:00;0.26;51.81;0.29;138.22;;Data er manuelt kontrolleret
13-01-2021 10:00:00;0.24;38.56;0.17;122.95;;Data er manuelt kontrolleret
13-01-2021 09:30:00;0.26;38.02;-0.03;98.74;;Data er manuelt kontrolleret
13-01-2021 09:00:00;0.24;22.03;0.09;98.21;;Data er manuelt kontrolleret
13-01-2021 08:30:00;0.27;64.01;0.64;182.2;;Data er manuelt kontrolleret
13-01-2021 08:00:00;0.37;57.36;0.43;200.77;;Data er manuelt kontrolleret
13-01-2021 07:30:00;0.45;88.36;0.58;284.29;;Data er manuelt kontrolleret
13-01-2021 07:00:00;0.35;55.77;0.78;166.48;;Data er manuelt kontrolleret
13-01-2021 06:30:00;0.24;33.99;-0.03;66.13;;Data er manuelt kontrolleret
13-01-2021 06:00:00;0.2;13.41;-0.23;22.55;;Data er manuelt kontrolleret
13-01-2021 05:30:00;0.21;26.91;-0.14;39.53;;Data er manuelt kontrolleret
13-01-2021 05:00:00;0.22;31.35;-0.23;44.87;;Data er manuelt kontrolleret
13-01-2021 04:30:00;0.19;9.03;-0.38;12.55;;Data er manuelt kontrolleret
13-01-2021 03:30:00;0.19;1.68;0.17;1.63;;Data er manuelt kontrolleret
13-01-2021 03:00:00;0.17;0.75;0.29;0.34;;Data er manuelt kontrolleret
13-01-2021 02:30:00;0.17;1.2;0.38;0.99;;Data er manuelt kontrolleret
13-01-2021 02:00:00;0.17;0.17;0;0;;Data er manuelt kontrolleret
13-01-2021 01:30:00;0.16;1.53;0;0.86;;Data er manuelt kontrolleret
13-01-2021 01:00:00;0.16;0.82;-0.26;0.27;;Data er manuelt kontrolleret
13-01-2021 00:30:00;0.17;1.45;0;1.74;;Data er manuelt kontrolleret
13-01-2021 00:00:00;0.16;1.32;0;1.66;4.96;Data er manuelt kontrolleret
12-01-2021 23:30:00;0.17;3.56;-0.03;5.2;;Data er manuelt kontrolleret
12-01-2021 23:00:00;0.19;5.05;0.35;8.26;;Data er manuelt kontrolleret
12-01-2021 22:30:00;0.17;4.26;0.32;7.73;;Data er manuelt kontrolleret
12-01-2021 22:00:00;0.19;5.53;0.46;7.98;;Data er manuelt kontrolleret
12-01-2021 21:30:00;0.19;8.68;0.32;12.55;;Data er manuelt kontrolleret
12-01-2021 21:00:00;0.2;6.9;0.55;11.04;;Data er manuelt kontrolleret
12-01-2021 20:30:00;0.19;5.22;0.49;7.31;;Data er manuelt kontrolleret
12-01-2021 20:00:00;0.19;6.06;0.38;9.62;;Data er manuelt kontrolleret
12-01-2021 19:30:00;0.2;5.79;0.58;8.43;;Data er manuelt kontrolleret
12-01-2021 19:00:00;0.19;6.08;0.46;9.03;;Data er manuelt kontrolleret
12-01-2021 18:30:00;0.2;8.91;-0.09;13.62;;Data er manuelt kontrolleret
12-01-2021 18:00:00;0.2;11.44;-0.09;16.96;;Data er manuelt kontrolleret
12-01-2021 17:30:00;0.21;12.81;0.41;19.11;;Data er manuelt kontrolleret
12-01-2021 17:00:00;0.21;16.29;0.23;27.52;;Data er manuelt kontrolleret
12-01-2021 16:30:00;0.21;16.43;0.23;27.87;;Data er manuelt kontrolleret
12-01-2021 16:00:00;0.23;17.46;0.32;29.59;;Data er manuelt kontrolleret
12-01-2021 15:30:00;0.2;14.61;0.35;24.98;;Data er manuelt kontrolleret
12-01-2021 15:00:00;0.23;18.17;-0.38;27.98;;Data er manuelt kontrolleret
12-01-2021 14:30:00;0.22;13.18;-0.26;22.78;;Data er manuelt kontrolleret
12-01-2021 14:00:00;0.2;10.84;0.9;17.1;;Data er manuelt kontrolleret
12-01-2021 13:30:00;0.21;13.75;0.87;22.85;;Data er manuelt kontrolleret
12-01-2021 13:00:00;0.2;11.09;0.98;17.65;;Data er manuelt kontrolleret
12-01-2021 12:30:00;0.17;13.75;0.64;24.21;;Data er manuelt kontrolleret
12-01-2021 12:00:00;0.17;12.22;0.09;18.74;;Data er manuelt kontrolleret
12-01-2021 11:30:00;0.17;12.81;-0.32;20.98;;Data er manuelt kontrolleret
12-01-2021 11:00:00;0.17;9.28;0.09;15.97;;Data er manuelt kontrolleret
12-01-2021 10:30:00;0.17;13.43;0.4;21.27;;Data er manuelt kontrolleret
12-01-2021 10:00:00;0.17;13.94;0.4;20.9;;Data er manuelt kontrolleret
12-01-2021 09:30:00;0.19;14.1;0.17;20;;Data er manuelt kontrolleret
12-01-2021 09:00:00;0.17;15.95;0.29;23.56;;Data er manuelt kontrolleret
12-01-2021 08:30:00;0.17;14.36;-0.03;21.29;;Data er manuelt kontrolleret
12-01-2021 08:00:00;0.17;13.98;0.17;20.31;;Data er manuelt kontrolleret
12-01-2021 07:30:00;0.19;15.41;-0.09;23.62;;Data er manuelt kontrolleret
12-01-2021 07:00:00;0.16;10.06;0.26;14.02;;Data er manuelt kontrolleret
12-01-2021 06:30:00;0.16;8.72;0.2;12.51;;Data er manuelt kontrolleret
12-01-2021 05:30:00;0.15;8.13;0.17;11;;Data er manuelt kontrolleret
12-01-2021 05:00:00;0.14;2.77;0.17;4.07;;Data er manuelt kontrolleret
12-01-2021 04:30:00;0.14;3.48;-0.03;4.23;;Data er manuelt kontrolleret
12-01-2021 04:00:00;0.15;3.37;-0.72;4.23;;Data er manuelt kontrolleret
12-01-2021 03:30:00;0.15;2.75;-0.38;3.23;;Data er manuelt kontrolleret
12-01-2021 03:00:00;0.16;1.61;-0.14;2.05;;Data er manuelt kontrolleret
12-01-2021 02:30:00;0.17;1.82;-0.46;2.64;;Data er manuelt kontrolleret
12-01-2021 02:00:00;0.16;1.3;-0.58;1.28;;Data er manuelt kontrolleret
12-01-2021 01:30:00;0.16;1.26;-0.49;1.72;;Data er manuelt kontrolleret
12-01-2021 00:30:00;0.19;2.22;-0.75;2.79;;Data er manuelt kontrolleret
12-01-2021 00:00:00;0.17;1.93;-0.84;2.68;3.43;Data er manuelt kontrolleret
11-01-2021 23:30:00;0.2;3.23;0;4.34;;Data er manuelt kontrolleret
11-01-2021 23:00:00;0.2;7.27;-0.55;9.75;;Data er manuelt kontrolleret
11-01-2021 22:30:00;0.17;4.88;-0.84;7.17;;Data er manuelt kontrolleret
11-01-2021 22:00:00;0.2;3.52;-0.72;5.62;;Data er manuelt kontrolleret
11-01-2021 21:30:00;0.21;4.32;-0.61;6.62;;Data er manuelt kontrolleret
11-01-2021 21:00:00;0.21;4.63;-0.67;6.92;;Data er manuelt kontrolleret
11-01-2021 20:30:00;0.22;4.44;-0.38;7.36;;Data er manuelt kontrolleret
11-01-2021 20:00:00;0.23;4.74;-0.26;7.32;;Data er manuelt kontrolleret
11-01-2021 19:30:00;0.23;3.12;0;5.07;;Data er manuelt kontrolleret
11-01-2021 19:00:00;0.23;4.44;0.06;7.46;;Data er manuelt kontrolleret
11-01-2021 18:30:00;0.23;4.55;0.12;7.42;;Data er manuelt kontrolleret
11-01-2021 18:00:00;0.22;4.8;0.14;7.63;;Data er manuelt kontrolleret
11-01-2021 17:30:00;0.23;7.46;0;13.52;;Data er manuelt kontrolleret
11-01-2021 17:00:00;0.24;8.99;-1.16;15.43;;Data er manuelt kontrolleret
11-01-2021 16:30:00;0.24;10.02;-1.36;17.38;;Data er manuelt kontrolleret
11-01-2021 16:00:00;0.24;10.06;-0.03;18.02;;Data er manuelt kontrolleret
11-01-2021 15:30:00;0.26;14.29;-0.61;25.8;;Data er manuelt kontrolleret
11-01-2021 15:00:00;0.27;11.82;-0.72;22.22;;Data er manuelt kontrolleret
11-01-2021 14:30:00;0.23;11.02;-0.52;20.79;;Data er manuelt kontrolleret
11-01-2021 14:00:00;0.24;10;-0.58;19.35;;Data er manuelt kontrolleret
11-01-2021 13:30:00;0.22;8.11;-0.23;14.67;;Data er manuelt kontrolleret
11-01-2021 13:00:00;0.22;9.33;-0.32;15.51;;Data er manuelt kontrolleret
11-01-2021 12:30:00;0.23;8.89;-0.35;16.28;;Data er manuelt kontrolleret
11-01-2021 12:00:00;0.23;10.25;-0.2;18.3;;Data er manuelt kontrolleret
11-01-2021 11:30:00;0.23;9.26;-0.23;16.81;;Data er manuelt kontrolleret
11-01-2021 11:00:00;0.22;9.89;-0.12;16.83;;Data er manuelt kontrolleret
11-01-2021 10:30:00;0.22;13.9;-0.17;24.86;;Data er manuelt kontrolleret
11-01-2021 10:00:00;0.22;13.04;0.14;22.8;;Data er manuelt kontrolleret
11-01-2021 09:30:00;0.21;13.39;-0.17;22.45;;Data er manuelt kontrolleret
11-01-2021 09:00:00;0.23;22.82;-0.2;42.57;;Data er manuelt kontrolleret
11-01-2021 08:30:00;0.22;25.32;0.23;46.88;;Data er manuelt kontrolleret
11-01-2021 08:00:00;0.23;20.88;0.26;35.92;;Data er manuelt kontrolleret
11-01-2021 07:30:00;0.24;23.24;0.09;42.34;;Data er manuelt kontrolleret
11-01-2021 07:00:00;0.23;18.47;-0.17;32.49;;Data er manuelt kontrolleret
11-01-2021 06:30:00;0.22;19.41;0.17;36.26;;Data er manuelt kontrolleret
11-01-2021 06:00:00;0.2;17.19;0.32;30.58;;Data er manuelt kontrolleret
11-01-2021 05:30:00;0.16;6.87;0.35;11.91;;Data er manuelt kontrolleret
11-01-2021 04:30:00;0.15;4.44;-0.17;6.31;;Data er manuelt kontrolleret
11-01-2021 04:00:00;0.2;7.25;0.12;9.72;;Data er manuelt kontrolleret
11-01-2021 03:30:00;0.15;7.02;0.35;13.23;;Data er manuelt kontrolleret
11-01-2021 03:00:00;0.15;2.75;0;4.15;;Data er manuelt kontrolleret
11-01-2021 02:30:00;0.16;3.96;-0.43;6.71;;Data er manuelt kontrolleret
11-01-2021 02:00:00;0.15;3.73;-0.61;4.9;;Data er manuelt kontrolleret
11-01-2021 01:30:00;0.16;3.52;-0.38;4.72;;Data er manuelt kontrolleret
11-01-2021 01:00:00;0.16;3.4;-0.03;4.88;;Data er manuelt kontrolleret
11-01-2021 00:30:00;0.19;8.32;-0.43;13.29;;Data er manuelt kontrolleret
11-01-2021 00:00:00;0.17;4.8;-0.66;6.45;3.19;Data er manuelt kontrolleret
10-01-2021 23:30:00;0.19;7.69;-0.49;11.74;;Data er manuelt kontrolleret
10-01-2021 23:00:00;0.24;11.9;-0.55;17.06;;Data er manuelt kontrolleret
10-01-2021 22:30:00;0.26;18.57;-0.81;34.44;;Data er manuelt kontrolleret
10-01-2021 22:00:00;0.23;21.23;-1.04;32.4;;Data er manuelt kontrolleret
10-01-2021 21:30:00;0.24;21.19;-1.13;37.94;;Data er manuelt kontrolleret
10-01-2021 21:00:00;0.23;17.02;-0.75;29.49;;Data er manuelt kontrolleret
10-01-2021 20:30:00;0.21;13.37;-1.07;19.58;;Data er manuelt kontrolleret
10-01-2021 20:00:00;0.2;12.14;-1.18;19.32;;Data er manuelt kontrolleret
10-01-2021 19:30:00;0.2;11.9;-0.84;17.33;;Data er manuelt kontrolleret
10-01-2021 19:00:00;0.22;15.41;-0.95;22.82;;Data er manuelt kontrolleret
10-01-2021 18:30:00;0.23;11.69;-0.95;17.29;;Data er manuelt kontrolleret
10-01-2021 18:00:00;0.23;10.25;-1.1;15.32;;Data er manuelt kontrolleret
10-01-2021 17:30:00;0.22;9.6;-1.13;14;;Data er manuelt kontrolleret
10-01-2021 17:00:00;0.23;11.21;-0.92;16.22;;Data er manuelt kontrolleret
10-01-2021 16:30:00;0.22;12.37;-0.75;19.09;;Data er manuelt kontrolleret
10-01-2021 16:00:00;0.23;14.04;-0.84;19.68;;Data er manuelt kontrolleret
10-01-2021 15:30:00;0.23;16.29;-0.92;23.7;;Data er manuelt kontrolleret
10-01-2021 15:00:00;0.23;16.52;-1.1;24.65;;Data er manuelt kontrolleret
10-01-2021 14:30:00;0.22;12.45;-0.84;19.55;;Data er manuelt kontrolleret
10-01-2021 14:00:00;0.2;8.13;-0.23;13.39;;Data er manuelt kontrolleret
10-01-2021 13:30:00;0.2;8.34;-0.17;13.02;;Data er manuelt kontrolleret
10-01-2021 13:00:00;0.21;8.49;-0.38;13.85;;Data er manuelt kontrolleret
10-01-2021 12:30:00;0.2;6.87;-0.29;10.63;;Data er manuelt kontrolleret
10-01-2021 12:00:00;0.2;8.66;-0.4;14.69;;Data er manuelt kontrolleret
10-01-2021 11:30:00;0.19;7.94;-0.52;12.16;;Data er manuelt kontrolleret
10-01-2021 11:00:00;0.19;9.28;-0.84;14.84;;Data er manuelt kontrolleret
10-01-2021 10:30:00;0.17;6.58;-0.81;9.43;;Data er manuelt kontrolleret
10-01-2021 10:00:00;0.19;6.2;-0.81;9.24;;Data er manuelt kontrolleret
10-01-2021 09:30:00;0.17;4.23;-1.01;6.35;;Data er manuelt kontrolleret
10-01-2021 09:00:00;0.19;5.79;-2.63;8.03;;Data er manuelt kontrolleret
10-01-2021 08:30:00;0.19;6.1;-2.63;8.15;;Data er manuelt kontrolleret
10-01-2021 08:00:00;0.2;6.16;-1.04;8.87;;Data er manuelt kontrolleret
10-01-2021 07:30:00;0.2;5.05;-1.01;7.82;;Data er manuelt kontrolleret
10-01-2021 07:00:00;0.2;3.4;-0.06;4.99;;Data er manuelt kontrolleret
10-01-2021 06:30:00;0.2;3.6;0.06;5.62;;Data er manuelt kontrolleret
10-01-2021 06:00:00;0.2;2.85;-0.14;3.67;;Data er manuelt kontrolleret
10-01-2021 05:30:00;0.21;3.14;-0.09;4.74;;Data er manuelt kontrolleret
10-01-2021 05:00:00;0.21;2.51;-0.17;3.16;;Data er manuelt kontrolleret
10-01-2021 04:30:00;0.22;3.14;-0.55;4.74;;Data er manuelt kontrolleret
10-01-2021 03:30:00;0.26;3.14;-0.52;4.17;;Data er manuelt kontrolleret
10-01-2021 03:00:00;0.26;3.81;-0.23;4.53;;Data er manuelt kontrolleret
10-01-2021 02:30:00;0.27;6.92;-0.52;13.73;;Data er manuelt kontrolleret
10-01-2021 02:00:00;0.29;7.32;-0.52;10.92;;Data er manuelt kontrolleret
10-01-2021 01:30:00;0.27;7.57;-0.61;12.95;;Data er manuelt kontrolleret
10-01-2021 01:00:00;0.28;6.02;-0.52;9.91;;Data er manuelt kontrolleret
10-01-2021 00:30:00;0.28;8.53;-1.53;15.07;;Data er manuelt kontrolleret
10-01-2021 00:00:00;0.28;7.69;-1.47;12.79;5.36;Data er manuelt kontrolleret
09-01-2021 23:30:00;0.31;12.93;-0.84;28.59;;Data er manuelt kontrolleret
09-01-2021 23:00:00;0.35;14.86;-0.86;29.59;;Data er manuelt kontrolleret
09-01-2021 22:30:00;0.31;12.89;-0.84;26.11;;Data er manuelt kontrolleret
09-01-2021 22:00:00;0.33;22.78;-1.12;54.14;;Data er manuelt kontrolleret
09-01-2021 21:30:00;0.3;13.41;-1.18;27.14;;Data er manuelt kontrolleret
09-01-2021 21:00:00;0.31;15.8;-1.12;34.33;;Data er manuelt kontrolleret
09-01-2021 20:30:00;0.26;9.14;-1.15;18.3;;Data er manuelt kontrolleret
09-01-2021 20:00:00;0.29;12.68;-1.5;24.23;;Data er manuelt kontrolleret
09-01-2021 19:30:00;0.31;17.42;-0.78;34.33;;Data er manuelt kontrolleret
09-01-2021 19:00:00;0.3;18.44;-0.95;38.65;;Data er manuelt kontrolleret
09-01-2021 18:30:00;0.34;19.89;-1.21;41.31;;Data er manuelt kontrolleret
09-01-2021 18:00:00;0.43;28.92;-1.15;68.49;;Data er manuelt kontrolleret
09-01-2021 17:30:00;0.37;12.26;-0.95;39.74;;Data er manuelt kontrolleret
09-01-2021 17:00:00;0.31;12.68;-0.95;21.57;;Data er manuelt kontrolleret
09-01-2021 16:30:00;0.35;16.64;-0.98;33.12;;Data er manuelt kontrolleret
09-01-2021 16:00:00;0.35;18.65;-0.81;37.1;;Data er manuelt kontrolleret
09-01-2021 15:30:00;0.37;25.26;-0.72;51.48;;Data er manuelt kontrolleret
09-01-2021 15:00:00;0.38;22.28;-0.75;49.15;;Data er manuelt kontrolleret
09-01-2021 14:30:00;0.35;19.72;-0.66;44.6;;Data er manuelt kontrolleret
09-01-2021 14:00:00;0.29;13.23;-0.86;26.22;;Data er manuelt kontrolleret
09-01-2021 13:30:00;0.3;13.58;-0.75;27.94;;Data er manuelt kontrolleret
09-01-2021 13:00:00;0.34;17.79;-0.37;39.19;;Data er manuelt kontrolleret
09-01-2021 12:30:00;0.37;17.75;-0.35;41.81;;Data er manuelt kontrolleret
09-01-2021 12:00:00;0.38;23.56;-0.61;68.83;;Data er manuelt kontrolleret
09-01-2021 11:30:00;0.45;26.93;-0.66;89.68;;Data er manuelt kontrolleret
09-01-2021 11:00:00;0.33;25.47;-0.63;65.41;;Data er manuelt kontrolleret
09-01-2021 10:30:00;0.33;21.11;-0.89;59.98;;Data er manuelt kontrolleret
09-01-2021 10:00:00;0.35;21.52;-1.01;53.03;;Data er manuelt kontrolleret
09-01-2021 09:30:00;0.31;14.59;-1.15;28.59;;Data er manuelt kontrolleret
09-01-2021 09:00:00;0.27;13.41;-1.53;28.13;;Data er manuelt kontrolleret
09-01-2021 08:30:00;0.33;15.78;-0.84;44.83;;Data er manuelt kontrolleret
09-01-2021 08:00:00;0.28;13.37;-0.66;31.65;;Data er manuelt kontrolleret
09-01-2021 07:30:00;0.28;11.84;-0.63;20.39;;Data er manuelt kontrolleret
09-01-2021 07:00:00;0.29;10.58;-0.58;24.48;;Data er manuelt kontrolleret
09-01-2021 06:30:00;0.28;12.79;-0.75;31;;Data er manuelt kontrolleret
09-01-2021 05:30:00;0.24;7.92;-0.98;12.6;;Data er manuelt kontrolleret
09-01-2021 05:00:00;0.23;6.37;-1.09;10.23;;Data er manuelt kontrolleret
09-01-2021 04:30:00;0.26;8.11;-1.12;16.81;;Data er manuelt kontrolleret
09-01-2021 04:00:00;0.26;27.54;-1.01;49.8;;Data er manuelt kontrolleret
09-01-2021 03:30:00;0.23;16.33;-0.69;25.95;;Data er manuelt kontrolleret
09-01-2021 03:00:00;0.26;6.9;-1.01;11.99;;Data er manuelt kontrolleret
09-01-2021 02:30:00;0.22;8.51;-1.38;17.69;;Data er manuelt kontrolleret
09-01-2021 02:00:00;0.24;12.64;-0.86;26.22;;Data er manuelt kontrolleret
09-01-2021 01:30:00;0.24;20.6;-0.81;35.52;;Data er manuelt kontrolleret
09-01-2021 01:00:00;0.24;7.92;-0.66;17.08;;Data er manuelt kontrolleret
09-01-2021 00:30:00;0.26;9.33;-0.84;19.6;;Data er manuelt kontrolleret
09-01-2021 00:00:00;0.26;7.63;-0.72;13.08;7.39;Data er manuelt kontrolleret
08-01-2021 23:30:00;0.29;10.06;-0.58;19.7;;Data er manuelt kontrolleret
08-01-2021 23:00:00;0.27;9.54;-0.66;21.92;;Data er manuelt kontrolleret
08-01-2021 22:30:00;0.29;16.08;-0.29;54.26;;Data er manuelt kontrolleret
08-01-2021 22:00:00;0.35;17.14;-0.55;51.31;;Data er manuelt kontrolleret
08-01-2021 21:30:00;0.31;18.97;-0.75;45.88;;Data er manuelt kontrolleret
08-01-2021 21:00:00;0.33;15.74;-0.46;45.88;;Data er manuelt kontrolleret
08-01-2021 20:30:00;0.31;20.06;-0.86;60.17;;Data er manuelt kontrolleret
08-01-2021 20:00:00;0.33;20.29;-1.01;57.22;;Data er manuelt kontrolleret
08-01-2021 19:30:00;0.34;16.39;-0.98;39.89;;Data er manuelt kontrolleret
08-01-2021 19:00:00;0.35;24.02;-0.35;62.18;;Data er manuelt kontrolleret
08-01-2021 18:30:00;0.33;35.46;-0.52;94.02;;Data er manuelt kontrolleret
08-01-2021 18:00:00;0.36;22.78;-0.58;82.64;;Data er manuelt kontrolleret
08-01-2021 17:30:00;0.41;45.08;-0.23;126.88;;Data er manuelt kontrolleret
08-01-2021 17:00:00;0.41;44.31;0.17;156.02;;Data er manuelt kontrolleret
08-01-2021 16:30:00;0.37;52.63;-0.78;133.22;;Data er manuelt kontrolleret
08-01-2021 16:00:00;0.37;62.21;-0.23;198.25;;Data er manuelt kontrolleret
08-01-2021 15:30:00;0.44;44.03;0.09;158.72;;Data er manuelt kontrolleret
08-01-2021 15:00:00;0.5;54.74;0.37;265.38;;Data er manuelt kontrolleret
08-01-2021 14:30:00;0.48;62.6;0.2;206.32;;Data er manuelt kontrolleret
08-01-2021 14:00:00;0.42;38.02;0.06;155.2;;Data er manuelt kontrolleret
08-01-2021 13:30:00;0.38;24.1;0;151.49;;Data er manuelt kontrolleret
08-01-2021 13:00:00;0.45;43.13;-0.26;167.67;;Data er manuelt kontrolleret
08-01-2021 12:30:00;0.36;41;-0.09;138.71;;Data er manuelt kontrolleret
08-01-2021 12:00:00;0.47;30.33;0.58;178.84;;Data er manuelt kontrolleret
08-01-2021 11:30:00;0.34;38.67;0.06;131.98;;Data er manuelt kontrolleret
08-01-2021 11:00:00;0.33;44.37;-0.29;112.93;;Data er manuelt kontrolleret
08-01-2021 10:30:00;0.31;45.46;-0.58;146.44;;Data er manuelt kontrolleret
08-01-2021 10:00:00;0.35;49;-0.35;151.05;;Data er manuelt kontrolleret
08-01-2021 09:30:00;0.31;39.49;-0.26;120.51;;Data er manuelt kontrolleret
08-01-2021 09:00:00;0.29;49.76;-0.23;147.53;;Data er manuelt kontrolleret
