station_id,Recorded,NO2,NOx
Vesterbro,2022-01-16 05:30:00,7.25,7.59
Oesterbro,2022-01-16 05:30:00,6.5,6.77
Vesterbro,2022-01-16 06:00:00,8.53,9.89
Vesterbro,2022-01-16 06:30:00,8.17,9.12
Oesterbro,2022-01-16 06:30:00,7.75,8.03
Vesterbro,2022-01-16 07:00:00,8.55,10.37
Oesterbro,2022-01-16 07:00:00,8.09,8.85
Vesterbro,2022-01-16 07:30:00,8.03,10.17
Oesterbro,2022-01-16 07:30:00,7.8,8.22
Vesterbro,2022-01-16 08:00:00,8.43,9.73
Oesterbro,2022-01-16 08:00:00,7.61,8.36
Vesterbro,2022-01-16 08:30:00,6.5,7.71
Oesterbro,2022-01-16 08:30:00,7.32,8.09
Vesterbro,2022-01-16 09:00:00,5.57,7.9
Oesterbro,2022-01-16 09:00:00,5.26,6.14
Oesterbro,2022-01-16 09:30:00,4.51,5.3
Vesterbro,2022-01-16 09:30:00,5.37,7.59
Vesterbro,2022-01-16 10:00:00,6.71,8.97
Oesterbro,2022-01-16 10:00:00,5.45,6.27
Vesterbro,2022-01-16 10:30:00,6.08,8.28
Oesterbro,2022-01-16 10:30:00,5.36,6.23
Oesterbro,2022-01-16 11:00:00,6.39,7.36
Vesterbro,2022-01-16 11:00:00,6.27,8.49
Oesterbro,2022-01-16 11:30:00,5.83,7.0
Vesterbro,2022-01-16 11:30:00,6.29,9.41
Oesterbro,2022-01-16 12:00:00,5.32,6.43
Vesterbro,2022-01-16 12:00:00,6.71,9.37
Vesterbro,2022-01-16 12:30:00,6.14,10.44
Oesterbro,2022-01-16 12:30:00,4.72,5.55
Oesterbro,2022-01-16 13:00:00,4.15,5.11
Vesterbro,2022-01-16 13:00:00,5.7,9.45
Oesterbro,2022-01-16 13:30:00,3.9,4.44
Vesterbro,2022-01-16 13:30:00,4.93,7.76
Vesterbro,2022-01-16 14:00:00,4.84,7.92
Oesterbro,2022-01-16 14:00:00,3.58,4.26
Oesterbro,2022-01-16 14:30:00,3.56,4.21
Vesterbro,2022-01-16 14:30:00,5.76,8.09
Oesterbro,2022-01-16 15:00:00,2.7,3.06
Vesterbro,2022-01-16 15:00:00,6.39,9.81
Vesterbro,2022-01-16 15:30:00,5.68,8.66
Oesterbro,2022-01-16 15:30:00,1.97,2.7
Vesterbro,2022-01-16 16:00:00,6.14,10.71
Oesterbro,2022-01-16 16:00:00,2.05,2.28
Vesterbro,2022-01-16 16:30:00,6.22,11.21
Oesterbro,2022-01-16 16:30:00,2.31,2.81
Vesterbro,2022-01-16 17:00:00,6.35,11.32
Oesterbro,2022-01-16 17:00:00,2.08,2.72
Oesterbro,2022-01-16 17:30:00,2.1,2.56
Vesterbro,2022-01-16 17:30:00,5.7,9.75
Oesterbro,2022-01-16 18:00:00,1.84,2.2
Vesterbro,2022-01-16 18:00:00,5.14,8.95
Oesterbro,2022-01-16 18:30:00,1.68,2.24
Vesterbro,2022-01-16 18:30:00,6.35,11.69
Oesterbro,2022-01-16 19:00:00,1.87,2.49
Vesterbro,2022-01-16 19:00:00,6.88,11.19
Vesterbro,2022-01-16 19:30:00,4.4,7.25
Oesterbro,2022-01-16 19:30:00,1.93,2.2
Oesterbro,2022-01-16 20:00:00,1.43,1.55
Vesterbro,2022-01-16 20:00:00,3.44,6.06
Oesterbro,2022-01-16 20:30:00,1.22,1.51
Vesterbro,2022-01-16 20:30:00,3.63,5.2
Oesterbro,2022-01-16 21:00:00,1.13,1.47
Vesterbro,2022-01-16 21:00:00,2.43,4.11
Oesterbro,2022-01-16 21:30:00,1.15,1.55
Vesterbro,2022-01-16 21:30:00,2.43,3.23
Vesterbro,2022-01-16 22:00:00,3.04,4.17
Oesterbro,2022-01-16 22:00:00,1.09,1.47
Vesterbro,2022-01-16 22:30:00,1.97,3.44
Oesterbro,2022-01-16 22:30:00,1.11,1.45
Vesterbro,2022-01-16 23:00:00,1.78,3.86
Oesterbro,2022-01-16 23:00:00,1.26,1.47
Oesterbro,2022-01-16 23:30:00,0.98,1.2
Vesterbro,2022-01-16 23:30:00,0.94,2.33
Vesterbro,2022-01-17 00:00:00,0.61,0.98
Oesterbro,2022-01-17 00:00:00,0.33,0.75
Vesterbro,2022-01-17 00:30:00,1.05,2.08
Oesterbro,2022-01-17 00:30:00,0.73,1.17
Vesterbro,2022-01-17 01:00:00,1.09,0.61
Oesterbro,2022-01-17 01:00:00,0.69,1.07
Vesterbro,2022-01-17 01:30:00,0.88,0.96
Oesterbro,2022-01-17 01:30:00,0.67,1.07
Oesterbro,2022-01-17 02:00:00,0.42,1.01
Vesterbro,2022-01-17 02:00:00,0.8,0.92
Oesterbro,2022-01-17 02:30:00,0.52,0.96
Vesterbro,2022-01-17 02:30:00,0.88,0.57
Oesterbro,2022-01-17 03:00:00,0.67,0.88
Oesterbro,2022-01-17 03:30:00,0.48,1.05
Vesterbro,2022-01-17 03:30:00,1.61,2.66
Vesterbro,2022-01-17 04:00:00,2.01,3.19
Oesterbro,2022-01-17 04:30:00,1.26,1.01
Vesterbro,2022-01-17 04:30:00,2.33,0.8
Oesterbro,2022-01-17 05:00:00,1.17,0.86
Oesterbro,2022-01-17 05:30:00,1.57,1.22
Vesterbro,2022-01-17 05:30:00,4.09,4.26
Vesterbro,2022-01-17 06:00:00,5.53,8.32
Oesterbro,2022-01-17 06:00:00,1.42,1.43
Vesterbro,2022-01-17 06:30:00,9.89,13.73
Oesterbro,2022-01-17 06:30:00,2.95,3.1
Vesterbro,2022-01-17 07:00:00,10.4,14.78
Oesterbro,2022-01-17 07:00:00,3.23,3.6
Vesterbro,2022-01-17 07:30:00,16.64,24.69
Oesterbro,2022-01-17 07:30:00,5.64,6.41
Vesterbro,2022-01-17 08:00:00,15.8,21.84
Oesterbro,2022-01-17 08:00:00,7.71,8.4
Vesterbro,2022-01-17 08:30:00,20.94,29.45
Oesterbro,2022-01-17 08:30:00,9.16,9.54
Oesterbro,2022-01-17 09:00:00,6.27,6.5
Vesterbro,2022-01-17 09:00:00,11.25,14.69
Oesterbro,2022-01-17 09:30:00,4.72,5.05
Vesterbro,2022-01-17 09:30:00,10.98,16.12
Oesterbro,2022-01-17 10:00:00,6.52,7.17
Vesterbro,2022-01-17 10:00:00,11.76,15.8
Vesterbro,2022-01-17 10:30:00,11.57,16.24
Oesterbro,2022-01-17 10:30:00,5.57,6.25
Oesterbro,2022-01-17 11:00:00,4.19,5.18
Vesterbro,2022-01-17 11:00:00,11.05,16.5
Vesterbro,2022-01-17 11:30:00,11.8,18.02
Oesterbro,2022-01-17 11:30:00,3.96,5.03
Vesterbro,2022-01-17 12:00:00,8.28,13.96
Oesterbro,2022-01-17 12:00:00,3.86,4.9
Vesterbro,2022-01-17 12:30:00,9.1,15.78
Oesterbro,2022-01-17 12:30:00,3.73,4.59
Vesterbro,2022-01-17 13:00:00,10.35,16.03
Oesterbro,2022-01-17 13:00:00,3.52,4.44
Oesterbro,2022-01-17 13:30:00,4.19,5.32
Vesterbro,2022-01-17 13:30:00,9.81,15.43
Oesterbro,2022-01-17 14:00:00,3.71,4.55
Vesterbro,2022-01-17 14:00:00,12.66,27.04
Vesterbro,2022-01-17 14:30:00,18.09,26.93
Oesterbro,2022-01-17 14:30:00,4.49,5.39
Oesterbro,2022-01-17 15:00:00,5.95,7.15
Vesterbro,2022-01-17 15:00:00,12.51,19.85
Vesterbro,2022-01-17 15:30:00,17.04,24.82
Oesterbro,2022-01-17 15:30:00,6.48,7.17
Vesterbro,2022-01-17 16:00:00,21.44,36.57
Oesterbro,2022-01-17 16:00:00,8.01,8.93
Oesterbro,2022-01-17 16:30:00,11.17,11.93
Vesterbro,2022-01-17 16:30:00,32.67,52.78
Oesterbro,2022-01-17 17:00:00,14.23,15.24
Vesterbro,2022-01-17 17:00:00,31.67,56.07
Vesterbro,2022-01-17 17:30:00,21.57,28.0
Oesterbro,2022-01-17 17:30:00,11.15,11.19
Oesterbro,2022-01-17 18:00:00,11.88,12.3
Vesterbro,2022-01-17 18:00:00,24.77,32.61
Vesterbro,2022-01-17 18:30:00,18.19,23.62
Oesterbro,2022-01-17 18:30:00,7.34,7.55
Oesterbro,2022-01-17 19:00:00,5.64,5.93
Vesterbro,2022-01-17 19:00:00,18.36,27.21
Oesterbro,2022-01-17 19:30:00,6.9,7.19
Vesterbro,2022-01-17 19:30:00,23.66,31.5
Vesterbro,2022-01-17 20:00:00,17.25,22.09
Oesterbro,2022-01-17 20:00:00,6.85,7.11
Oesterbro,2022-01-17 20:30:00,7.69,7.98
Vesterbro,2022-01-17 20:30:00,16.83,22.76
Vesterbro,2022-01-17 21:00:00,15.2,20.5
Oesterbro,2022-01-17 21:00:00,5.26,5.37
Oesterbro,2022-01-17 21:30:00,4.93,5.07
Vesterbro,2022-01-17 21:30:00,17.23,21.57
Vesterbro,2022-01-17 22:00:00,10.6,11.88
Oesterbro,2022-01-17 22:00:00,4.48,4.36
Vesterbro,2022-01-17 22:30:00,10.98,14.21
Oesterbro,2022-01-17 22:30:00,2.37,2.28
Vesterbro,2022-01-17 23:00:00,11.74,15.43
Oesterbro,2022-01-17 23:00:00,3.84,3.81
Oesterbro,2022-01-17 23:30:00,2.6,2.52
Vesterbro,2022-01-17 23:30:00,4.9,5.16
Oesterbro,2022-01-18 00:00:00,2.72,2.66
Vesterbro,2022-01-18 00:00:00,5.32,4.86
Oesterbro,2022-01-18 00:30:00,2.56,2.47
Vesterbro,2022-01-18 00:30:00,3.94,3.19
Oesterbro,2022-01-18 01:00:00,3.54,3.1
Vesterbro,2022-01-18 01:00:00,10.08,12.09
Vesterbro,2022-01-18 01:30:00,11.84,15.11
Oesterbro,2022-01-18 01:30:00,4.02,3.69
Vesterbro,2022-01-18 02:00:00,3.96,3.4
Oesterbro,2022-01-18 02:00:00,4.11,4.05
Vesterbro,2022-01-18 02:30:00,5.34,4.84
Oesterbro,2022-01-18 02:30:00,4.82,4.92
Oesterbro,2022-01-18 03:00:00,4.78,4.78
Vesterbro,2022-01-18 03:00:00,5.39,5.68
Oesterbro,2022-01-18 03:30:00,3.79,3.56
Vesterbro,2022-01-18 03:30:00,4.9,4.36
Oesterbro,2022-01-18 04:00:00,5.41,5.58
Vesterbro,2022-01-18 04:00:00,3.52,3.06
Oesterbro,2022-01-18 04:30:00,8.2,8.09
Vesterbro,2022-01-18 04:30:00,4.95,4.9
Vesterbro,2022-01-18 05:00:00,5.89,5.64
Vesterbro,2022-01-18 05:30:00,7.1,6.81
Oesterbro,2022-01-18 05:30:00,7.34,7.88
Oesterbro,2022-01-18 06:00:00,7.65,8.3
Oesterbro,2022-01-18 06:30:00,5.09,5.78
Vesterbro,2022-01-18 06:30:00,8.24,11.63
Oesterbro,2022-01-18 07:00:00,6.16,6.64
Vesterbro,2022-01-18 07:00:00,12.97,20.5
Oesterbro,2022-01-18 07:30:00,,
Oesterbro,2022-01-18 08:00:00,,
Oesterbro,2022-01-18 08:30:00,9.45,10.31
Vesterbro,2022-01-18 08:30:00,8.2,11.9
Vesterbro,2022-01-18 09:00:00,7.46,11.99
Oesterbro,2022-01-18 09:00:00,4.09,4.7
Vesterbro,2022-01-18 09:30:00,6.5,10.82
Oesterbro,2022-01-18 09:30:00,4.4,5.26
Vesterbro,2022-01-18 10:00:00,6.48,10.38
Oesterbro,2022-01-18 10:00:00,4.0,4.59
Oesterbro,2022-01-18 10:30:00,3.81,4.34
Vesterbro,2022-01-18 10:30:00,7.11,11.93
Oesterbro,2022-01-18 11:00:00,3.29,3.73
Vesterbro,2022-01-18 11:00:00,7.21,12.22
Oesterbro,2022-01-18 11:30:00,3.56,4.23
Vesterbro,2022-01-18 11:30:00,5.74,10.12
Oesterbro,2022-01-18 12:00:00,3.63,4.57
Vesterbro,2022-01-18 12:00:00,8.4,14.29
Oesterbro,2022-01-18 12:30:00,3.67,4.8
Vesterbro,2022-01-18 12:30:00,6.5,10.17
Vesterbro,2022-01-18 13:00:00,5.91,10.33
Oesterbro,2022-01-18 13:00:00,4.88,5.64
Vesterbro,2022-01-18 13:30:00,9.26,13.73
Oesterbro,2022-01-18 13:30:00,4.9,5.79
Oesterbro,2022-01-18 14:00:00,4.82,5.78
Oesterbro,2022-01-18 14:30:00,5.78,6.41
Oesterbro,2022-01-18 15:00:00,4.57,5.45
Vesterbro,2022-01-18 15:30:00,7.48,13.64
Oesterbro,2022-01-18 15:30:00,3.29,3.77
Oesterbro,2022-01-18 16:00:00,4.21,4.72
Oesterbro,2022-01-18 16:30:00,4.51,4.74
Oesterbro,2022-01-18 17:00:00,5.2,5.66
Oesterbro,2022-01-18 17:30:00,5.07,5.6
Vesterbro,2022-01-18 18:00:00,7.54,12.01
Oesterbro,2022-01-18 18:00:00,4.74,5.11
Vesterbro,2022-01-18 18:30:00,9.7,15.09
Oesterbro,2022-01-18 18:30:00,5.01,5.32
Vesterbro,2022-01-18 19:00:00,8.7,11.93
Oesterbro,2022-01-18 19:00:00,7.13,7.61
Vesterbro,2022-01-18 19:30:00,9.33,11.67
Oesterbro,2022-01-18 19:30:00,6.43,6.81
Vesterbro,2022-01-18 20:00:00,9.07,11.38
Oesterbro,2022-01-18 20:00:00,7.55,8.38
Vesterbro,2022-01-18 20:30:00,9.41,11.99
Oesterbro,2022-01-18 20:30:00,7.17,7.48
Vesterbro,2022-01-18 21:00:00,8.97,10.92
Oesterbro,2022-01-18 21:00:00,7.75,8.4
Vesterbro,2022-01-18 21:30:00,10.0,14.32
Oesterbro,2022-01-18 21:30:00,7.65,8.19
Vesterbro,2022-01-18 22:00:00,11.26,13.9
Oesterbro,2022-01-18 22:00:00,9.45,9.94
Vesterbro,2022-01-18 22:30:00,12.01,13.71
Oesterbro,2022-01-18 22:30:00,10.17,10.84
Oesterbro,2022-01-18 23:00:00,10.44,11.11
Vesterbro,2022-01-18 23:00:00,11.84,13.67
Vesterbro,2022-01-18 23:30:00,12.18,13.23
Oesterbro,2022-01-18 23:30:00,10.92,11.19
Oesterbro,2022-01-19 00:00:00,10.96,10.84
Vesterbro,2022-01-19 00:00:00,12.72,14.38
Vesterbro,2022-01-19 00:30:00,11.38,12.76
Oesterbro,2022-01-19 00:30:00,10.16,10.12
Vesterbro,2022-01-19 01:00:00,10.08,11.9
Oesterbro,2022-01-19 01:00:00,,
Vesterbro,2022-01-19 01:30:00,9.33,10.52
Oesterbro,2022-01-19 01:30:00,8.3,8.38
Oesterbro,2022-01-19 02:00:00,8.84,8.85
Vesterbro,2022-01-19 02:00:00,8.85,9.47
Vesterbro,2022-01-19 02:30:00,9.39,10.02
