station_id,Recorded,NO2,NOx
Vesterbro,2020-01-15 05:30:00,4.63,7.19
Oesterbro,2020-01-15 05:30:00,71.93,4.65
Vesterbro,2020-01-15 06:00:00,6.72,11.91
Oesterbro,2020-01-15 06:00:00,72.3,4.89
Vesterbro,2020-01-15 06:30:00,9.51,14.98
Oesterbro,2020-01-15 06:30:00,72.76,5.9
Oesterbro,2020-01-15 07:00:00,68.66,8.7
Vesterbro,2020-01-15 07:00:00,15.53,27.73
Vesterbro,2020-01-15 07:30:00,14.84,25.04
Oesterbro,2020-01-15 07:30:00,66.92,10.38
Vesterbro,2020-01-15 08:00:00,12.2,19.25
Oesterbro,2020-01-15 08:00:00,70.76,8.27
Vesterbro,2020-01-15 08:30:00,10.0,15.16
Oesterbro,2020-01-15 08:30:00,67.81,11.05
Vesterbro,2020-01-15 09:00:00,11.72,17.04
Oesterbro,2020-01-15 09:00:00,66.17,11.64
Oesterbro,2020-01-15 09:30:00,63.09,14.54
Vesterbro,2020-01-15 09:30:00,21.43,33.06
Vesterbro,2020-01-15 10:00:00,16.08,24.5
Oesterbro,2020-01-15 10:00:00,65.1,11.25
Vesterbro,2020-01-15 10:30:00,12.79,21.33
Oesterbro,2020-01-15 10:30:00,68.57,10.91
Vesterbro,2020-01-15 11:00:00,13.65,21.9
Oesterbro,2020-01-15 11:00:00,69.12,11.71
Oesterbro,2020-01-15 11:30:00,66.49,13.32
Vesterbro,2020-01-15 11:30:00,15.39,23.85
Oesterbro,2020-01-15 12:00:00,67.77,10.2
Vesterbro,2020-01-15 12:00:00,17.44,29.5
Oesterbro,2020-01-15 12:30:00,67.1,9.24
Vesterbro,2020-01-15 12:30:00,22.62,36.01
Oesterbro,2020-01-15 13:00:00,64.53,11.92
Vesterbro,2020-01-15 13:00:00,19.72,32.95
Vesterbro,2020-01-15 13:30:00,20.99,34.2
Oesterbro,2020-01-15 13:30:00,65.09,11.54
Oesterbro,2020-01-15 14:00:00,63.8,12.27
Vesterbro,2020-01-15 14:00:00,19.43,33.12
Oesterbro,2020-01-15 14:30:00,62.26,12.31
Vesterbro,2020-01-15 14:30:00,18.23,29.63
Oesterbro,2020-01-15 15:00:00,58.36,15.37
Vesterbro,2020-01-15 15:00:00,24.74,41.56
Oesterbro,2020-01-15 15:30:00,55.61,17.15
Vesterbro,2020-01-15 15:30:00,25.93,43.71
Vesterbro,2020-01-15 16:00:00,22.12,35.5
Oesterbro,2020-01-15 16:00:00,55.33,16.69
Oesterbro,2020-01-15 16:30:00,55.99,14.51
Vesterbro,2020-01-15 16:30:00,22.1,35.79
Vesterbro,2020-01-15 17:00:00,21.72,33.01
Oesterbro,2020-01-15 17:00:00,64.04,9.88
Vesterbro,2020-01-15 17:30:00,19.72,30.36
Oesterbro,2020-01-15 17:30:00,72.01,5.94
Vesterbro,2020-01-15 18:00:00,14.12,21.19
Oesterbro,2020-01-15 18:00:00,74.07,5.87
Vesterbro,2020-01-15 18:30:00,9.68,14.63
Oesterbro,2020-01-15 18:30:00,76.6,5.2
Oesterbro,2020-01-15 19:00:00,74.23,6.06
Vesterbro,2020-01-15 19:00:00,11.84,18.69
Vesterbro,2020-01-15 19:30:00,10.44,15.02
Oesterbro,2020-01-15 19:30:00,74.49,4.99
Oesterbro,2020-01-15 20:00:00,73.56,4.57
Vesterbro,2020-01-15 20:00:00,10.44,16.65
Vesterbro,2020-01-15 20:30:00,7.0,10.32
Oesterbro,2020-01-15 20:30:00,74.29,3.65
Vesterbro,2020-01-15 21:00:00,8.24,13.01
Oesterbro,2020-01-15 21:00:00,73.73,3.65
Oesterbro,2020-01-15 21:30:00,73.81,3.4
Vesterbro,2020-01-15 21:30:00,6.14,10.08
Vesterbro,2020-01-15 22:00:00,5.96,9.04
Oesterbro,2020-01-15 22:00:00,73.04,3.72
Vesterbro,2020-01-15 22:30:00,5.05,7.95
Oesterbro,2020-01-15 22:30:00,72.09,3.83
Vesterbro,2020-01-15 23:00:00,3.77,5.98
Oesterbro,2020-01-15 23:00:00,71.32,3.56
Vesterbro,2020-01-15 23:30:00,3.68,4.87
Oesterbro,2020-01-15 23:30:00,69.88,4.28
Oesterbro,2020-01-16 00:00:00,69.56,4.16
Vesterbro,2020-01-16 00:00:00,3.88,4.87
Oesterbro,2020-01-16 00:30:00,69.6,3.88
Vesterbro,2020-01-16 00:30:00,3.85,4.63
Oesterbro,2020-01-16 01:00:00,69.8,3.79
Vesterbro,2020-01-16 01:00:00,3.25,4.09
Oesterbro,2020-01-16 01:30:00,70.04,3.73
Vesterbro,2020-01-16 01:30:00,3.55,4.94
Vesterbro,2020-01-16 02:00:00,2.96,3.83
Oesterbro,2020-01-16 02:00:00,70.87,3.16
Oesterbro,2020-01-16 02:30:00,71.26,3.58
Vesterbro,2020-01-16 02:30:00,3.54,4.46
Oesterbro,2020-01-16 03:00:00,,2.91
Vesterbro,2020-01-16 03:00:00,2.85,3.29
Oesterbro,2020-01-16 03:30:00,71.92,3.5
Vesterbro,2020-01-16 03:30:00,2.87,3.64
Vesterbro,2020-01-16 04:00:00,2.74,3.59
Oesterbro,2020-01-16 04:00:00,70.59,4.96
Vesterbro,2020-01-16 04:30:00,3.0,4.55
Oesterbro,2020-01-16 04:30:00,70.28,5.62
Vesterbro,2020-01-16 05:00:00,3.91,5.5
Oesterbro,2020-01-16 05:00:00,70.61,4.84
Oesterbro,2020-01-16 05:30:00,70.73,4.89
Vesterbro,2020-01-16 05:30:00,4.2,6.65
Vesterbro,2020-01-16 06:30:00,6.7,10.82
Oesterbro,2020-01-16 06:30:00,69.8,5.58
Vesterbro,2020-01-16 07:00:00,7.73,12.09
Oesterbro,2020-01-16 07:00:00,66.48,8.95
Oesterbro,2020-01-16 07:30:00,65.33,9.26
Vesterbro,2020-01-16 07:30:00,9.4,14.93
Oesterbro,2020-01-16 08:00:00,66.14,8.26
Vesterbro,2020-01-16 08:00:00,8.07,11.65
Vesterbro,2020-01-16 08:30:00,6.92,10.97
Oesterbro,2020-01-16 08:30:00,66.34,7.43
Vesterbro,2020-01-16 09:00:00,6.17,10.9
Oesterbro,2020-01-16 09:00:00,66.93,6.02
Vesterbro,2020-01-16 09:30:00,7.48,13.57
Oesterbro,2020-01-16 09:30:00,65.05,6.86
Vesterbro,2020-01-16 10:00:00,8.47,13.18
Oesterbro,2020-01-16 10:00:00,63.81,7.28
Vesterbro,2020-01-16 10:30:00,8.99,14.56
Oesterbro,2020-01-16 10:30:00,61.81,8.23
Vesterbro,2020-01-16 11:00:00,8.17,13.82
Oesterbro,2020-01-16 11:00:00,60.72,7.86
Vesterbro,2020-01-16 11:30:00,9.01,14.51
Oesterbro,2020-01-16 11:30:00,62.82,7.75
Vesterbro,2020-01-16 12:00:00,9.67,16.14
